Time,Channel A
(ms),(V)

-500.01996756,4.31623300
-500.00996756,4.30463600
-499.99996756,4.31989500
-499.98996756,4.29303900
-499.97996756,4.29166600
-499.96996756,4.30112600
-499.95996756,4.31806400
-499.94996756,4.30997700
-499.93996756,4.31135000
-499.92996756,4.31485900
-499.91996756,4.30295700
-499.90996756,4.31516500
-499.89996756,4.30387300
-499.88996756,4.32157400
-499.87996756,4.31379100
-499.86996756,4.30906100
-499.85996756,4.30158400
-499.84996756,4.31669000
-499.83996756,4.31135000
-499.82996756,4.31836900
-499.81996756,4.30188900
-499.80996756,4.31363900
-499.79996756,4.31058700
-499.78996756,4.32096300
-499.77996756,4.30555200
-499.76996756,4.30372000
-499.75996756,4.30280400
-499.74996756,4.30860300
-499.73996756,4.30906100
-499.72996756,4.31852100
-499.71996756,4.30005800
-499.70996756,4.30356700
-499.69996756,4.31028200
-499.68996756,4.31424900
-499.67996756,4.30555200
-499.66996756,4.31318100
-499.65996757,4.30127900
-499.64996757,4.31043400
-499.63996757,4.29578500
-499.62996757,4.31714800
-499.61996757,4.31196000
-499.60996757,4.30509400
-499.59996757,4.32432000
-499.58996757,4.30814600
-499.57996757,4.29899000
-499.56996757,4.31455400
-499.55996757,4.31485900
-499.54996757,4.29929500
-499.53996757,4.32050600
-499.52996757,4.31409600
-499.51996757,4.30692500
-499.50996757,4.32737200
-499.49996757,4.31669000
-499.48996757,4.32294700
-499.47996757,4.31150200
-499.46996757,4.30814600
-499.45996757,4.30845100
-499.44996757,4.30753500
-499.43996757,4.29731100
-499.42996757,4.32203100
-499.41996757,4.30768800
-499.40996757,4.29822700
-499.39996757,4.31470700
-499.38996757,4.31470700
-499.37996757,4.30799300
-499.36996757,4.30784000
-499.35996757,4.29197100
-499.34996757,4.30524600
-499.33996757,4.30234700
-499.32996757,4.31745300
-499.31996757,4.30997700
-499.30996757,4.30204200
-499.29996757,4.30402500
-499.28996757,4.30066800
-499.27996757,4.30662000
-499.26996757,4.31730100
-499.25996758,4.31897900
-499.24996758,4.29883700
-499.23996758,4.29517500
-499.22996758,4.30600900
-499.21996758,4.31714800
-499.20996758,4.30295700
-499.19996758,4.31699600
-499.18996758,4.29242800
-499.17996758,4.31745300
-499.16996758,4.30967100
-499.15996758,4.30692500
-499.14996758,4.30799300
-499.13996758,4.31287600
-499.12996758,4.30478800
-499.11996758,4.31531700
-499.10996758,4.30066800
-499.09996758,4.30860300
-499.08996758,4.31379100
-499.07996758,4.30173600
-499.06996758,4.31516500
-499.05996758,4.29242800
-499.04996758,4.30845100
-499.03996758,4.31547000
-499.02996758,4.29242800
-499.01996758,4.31333400
-499.00996758,4.30692500
-498.99996758,4.30127900
-498.98996758,4.31287600
-498.97996758,4.30448300
-498.96996758,4.30326200
-498.95996758,4.32050600
-498.94996758,4.30097300
-498.93996758,4.28144200
-498.92996758,4.30188900
-498.91996758,4.29639600
-498.90996758,4.30967100
-498.89996758,4.30890800
-498.88996758,4.29944800
-498.87996758,4.30402500
-498.86996759,4.31455400
-498.85996759,4.29807400
-498.84996759,4.30906100
