Time,Channel A
(ms),(V)

-500.00901620,4.28540900
-499.99901621,4.28968200
-499.98901621,4.29990500
-499.97901621,4.29334400
-499.96901621,4.27961100
-499.95901621,4.27732200
-499.94901621,4.26862400
-499.93901621,4.29197100
-499.92901621,4.29258100
-499.91901621,4.29334400
-499.90901621,4.28174700
-499.89901621,4.29258100
-499.88901621,4.28601900
-499.87901621,4.28678200
-499.86901621,4.27518600
-499.85901621,4.29990500
-499.84901621,4.29776900
-499.83901621,4.29120800
-499.82901621,4.29410700
-499.81901621,4.31074000
-499.80901621,4.39069800
-499.79901621,4.30066800
-499.78901621,4.30356700
-499.77901621,4.29410700
-499.76901621,4.30936600
-499.75901621,4.29548000
-499.74901621,4.29044500
-499.73901621,4.29837900
-499.72901621,4.28754500
-499.71901621,4.29487000
-499.70901621,4.28251000
-499.69901621,4.29044500
-499.68901621,4.27808500
-499.67901621,4.28251000
-499.66901621,4.27594900
-499.65901621,4.29044500
-499.64901621,4.29624300
-499.63901621,4.28098400
-499.62901621,4.31592800
-499.61901621,4.29914200
-499.60901622,4.30127900
-499.59901622,4.22147300
-499.58901622,4.28891800
-499.57901622,4.29197100
-499.56901622,4.29334400
-499.55901622,4.28678200
-499.54901622,4.31440200
-499.53901622,4.31074000
-499.52901622,4.28388300
-499.51901622,4.29334400
-499.50901622,4.28830800
-499.49901622,4.28174700
-499.48901622,4.28098400
-499.47901622,4.29624300
-499.46901622,4.30066800
-499.45901622,4.26862400
-499.44901622,4.28388300
-499.43901622,4.28891800
-499.42901622,4.29258100
-499.41901622,4.27732200
-499.40901622,4.28388300
-499.39901622,4.27228600
-499.38901622,4.29700600
-499.37901622,4.28312000
-499.36901622,4.29197100
-499.35901622,4.29487000
-499.34901622,4.29258100
-499.33901622,4.29197100
-499.32901622,4.29487000
-499.31901622,4.30204200
-499.30901622,4.27884800
-499.29901622,4.29410700
-499.28901622,4.28601900
-499.27901622,4.28830800
-499.26901622,4.29197100
-499.25901622,4.27671100
-499.24901622,4.30860300
-499.23901622,4.28891800
-499.22901622,4.28098400
-499.21901622,4.28174700
-499.20901623,4.31150200
-499.19901623,4.28891800
-499.18901623,4.27732200
-499.17901623,4.31882700
-499.16901623,4.31882700
-499.15901623,4.30570400
-499.14901623,4.29700600
-499.13901623,4.28022100
-499.12901623,4.28251000
-499.11901623,4.28174700
-499.10901623,4.28464600
-499.09901623,4.27442300
-499.08901623,4.29120800
-499.07901623,4.28174700
-499.06901623,4.33118700
-499.05901623,4.28891800
-499.04901623,4.30204200
-499.03901623,4.30936600
-499.02901623,4.30494100
-499.01901623,4.27732200
-499.00901623,4.29120800
-498.99901623,4.31440200
-498.98901623,4.30723000
-498.97901623,4.28540900
-498.96901623,4.29776900
-498.95901623,4.30356700
-498.94901623,4.27808500
-498.93901623,4.31226500
-498.92901623,4.29624300
-498.91901623,4.29776900
-498.90901623,4.30280400
-498.89901623,4.28891800
-498.88901623,4.27961100
-498.87901623,4.29197100
-498.86901623,4.27228600
-498.85901623,4.27671100
-498.84901623,4.28601900
-498.83901623,4.32020000
