Time,Channel A
(ms),(V)

-500.01996756,3.28638600
-500.00996756,3.28257100
-499.99996756,3.29462600
-499.98996756,3.30088200
-499.97996756,3.28089200
-499.96996756,3.28577500
-499.95996756,3.30271300
-499.94996756,3.29355800
-499.93996756,3.29432100
-499.92996756,3.30423900
-499.91996756,3.29035300
-499.90996756,3.29004800
-499.89996756,3.29432100
-499.88996756,3.30042400
-499.87996756,3.29584600
-499.86996756,3.30713800
-499.85996756,3.28272300
-499.84996756,3.29660900
-499.83996756,3.28287600
-499.82996756,3.30393400
-499.81996756,3.30576500
-499.80996756,3.29966100
-499.79996756,3.29447300
-499.78996756,3.30332400
-499.77996756,3.29981400
-499.76996756,3.29050600
-499.75996756,3.28272300
-499.74996756,3.30317100
-499.73996756,3.31247900
-499.72996756,3.30576500
-499.71996756,3.28913200
-499.70996756,3.27616200
-499.69996756,3.28562300
-499.68996756,3.29340500
-499.67996756,3.29905100
-499.66996756,3.29813500
-499.65996757,3.28959000
-499.64996757,3.29340500
-499.63996757,3.28653800
-499.62996757,3.30225500
-499.61996757,3.30301800
-499.60996757,3.30332400
-499.59996757,3.29340500
-499.58996757,3.28455400
-499.57996757,3.30134000
-499.56996757,3.29233700
-499.55996757,3.28501200
-499.54996757,3.28104500
-499.53996757,3.28867500
-499.52996757,3.29111600
-499.51996757,3.29142100
-499.50996757,3.27784100
-499.49996757,3.27692500
-499.48996757,3.29218400
-499.47996757,3.30317100
-499.46996757,3.29310000
-499.45996757,3.29294700
-499.44996757,3.29523600
-499.43996757,3.28455400
-499.42996757,3.28928500
-499.41996757,3.30423900
-499.40996757,3.29355800
-499.39996757,3.29630400
-499.38996757,3.29584600
-499.37996757,3.29966100
-499.36996757,3.30454400
-499.35996757,3.29874600
-499.34996757,3.29966100
-499.33996757,3.29722000
-499.32996757,3.29401500
-499.31996757,3.29630400
-499.30996757,3.28531800
-499.29996757,3.29905100
-499.28996757,3.29905100
-499.27996757,3.28882700
-499.26996757,3.30271300
-499.25996758,3.31095300
-499.24996758,3.30393400
-499.23996758,3.29615200
-499.22996758,3.29325200
-499.21996758,3.29798300
-499.20996758,3.28867500
-499.19996758,3.30317100
-499.18996758,3.30042400
-499.17996758,3.29660900
-499.16996758,3.30515500
-499.15996758,3.29599900
-499.14996758,3.30927500
-499.13996758,3.29371000
-499.12996758,3.28745400
-499.11996758,3.28119800
-499.10996758,3.29737200
-499.09996758,3.29798300
-499.08996758,3.31232600
-499.07996758,3.30484900
-499.06996758,3.28058700
-499.05996758,3.29004800
-499.04996758,3.29630400
-499.03996758,3.28852200
-499.02996758,3.31080100
-499.01996758,3.30103500
-499.00996758,3.29554100
-498.99996758,3.30927500
-498.98996758,3.30088200
-498.97996758,3.29371000
-498.96996758,3.29538900
-498.95996758,3.29462600
-498.94996758,3.27906100
-498.93996758,3.30011900
-498.92996758,3.29813500
-498.91996758,3.29248900
-498.90996758,3.28196000
-498.89996758,3.29844000
-498.88996758,3.29035300
-498.87996758,3.28928500
-498.86996759,3.29737200
-498.85996759,3.29645700
-498.84996759,3.29584600
