Time,Channel A
(ms),(V)

-500.00878342,3.27951900
-499.99878342,3.28012900
-499.98878342,3.26853200
-499.97878342,3.29187900
-499.96878342,3.29187900
-499.95878342,3.27799300
-499.94878342,3.29325200
-499.93878342,3.27433100
-499.92878342,3.21115800
-499.91878342,3.30271300
-499.90878342,3.32377100
-499.89878342,3.28379200
-499.88878342,3.28669100
-499.87878342,3.30637500
-499.86878343,3.30195000
-499.85878343,3.28531800
-499.84878343,3.28012900
-499.83878343,3.28165500
-499.82878343,3.28531800
-499.81878343,3.27433100
-499.80878343,3.26792200
-499.79878343,3.30195000
-499.78878343,3.28745400
-499.77878343,3.27433100
-499.76878343,3.28165500
-499.75878343,3.28669100
-499.74878343,3.28379200
-499.73878343,3.28592800
-499.72878343,3.30774900
-499.71878343,3.28089200
-499.70878343,3.28592800
-499.69878343,3.28165500
-499.68878343,3.29187900
-499.67878343,3.27143200
-499.66878343,3.29111600
-499.65878343,3.29187900
-499.64878343,3.31141100
-499.63878343,3.28821700
-499.62878343,3.28745400
-499.61878343,3.29111600
-499.60878343,3.28302900
-499.59878343,3.27509400
-499.58878343,3.29401500
-499.57878343,3.29401500
-499.56878343,3.30271300
-499.55878343,3.28089200
-499.54878343,3.28959000
-499.53878343,3.29248900
-499.52878343,3.27875600
-499.51878343,3.29401500
-499.50878343,3.28302900
-499.49878343,3.30637500
-499.48878343,3.27219500
-499.47878343,3.28882700
-499.46878344,3.29111600
-499.45878344,3.27662000
-499.44878344,3.27723000
-499.43878344,3.28089200
-499.42878344,3.27662000
-499.41878344,3.26349700
-499.40878344,3.27372100
-499.39878344,3.25769800
-499.38878344,3.27372100
-499.37878344,3.27723000
-499.36878344,3.27372100
-499.35878344,3.28241800
-499.34878344,3.29035300
-499.33878344,3.30118700
-499.32878344,3.27219500
-499.31878344,3.28089200
-499.30878344,3.29477800
-499.29878344,3.27433100
-499.28878344,3.28302900
-499.27878344,3.27509400
-499.26878344,3.29905100
-499.25878344,3.28669100
-499.24878344,3.27951900
-499.23878344,3.28379200
-499.22878344,3.29828800
-499.21878344,3.28745400
-499.20878344,3.27219500
-499.19878344,3.28241800
-499.18878344,3.29035300
-499.17878344,3.28959000
-499.16878344,3.27295800
-499.15878344,3.29981400
-499.14878344,3.29035300
-499.13878344,3.29035300
-499.12878344,3.28089200
-499.11878344,3.29187900
-499.10878344,3.28012900
-499.09878344,3.26929500
-499.08878344,3.27082100
-499.07878345,3.27799300
-499.06878345,3.28302900
-499.05878345,3.29828800
-499.04878345,3.27799300
-499.03878345,3.28531800
-499.02878345,3.27799300
-499.01878345,3.28165500
-499.00878345,3.28012900
-498.99878345,3.28455400
-498.98878345,3.29187900
-498.97878345,3.30408600
-498.96878345,3.30271300
-498.95878345,3.29981400
-498.94878345,3.30774900
-498.93878345,3.28302900
-498.92878345,3.30484900
-498.91878345,3.27219500
-498.90878345,3.27005800
-498.89878345,3.27005800
-498.88878345,3.28592800
-498.87878345,3.27143200
-498.86878345,3.29615200
-498.85878345,3.30271300
-498.84878345,3.28882700
-498.83878345,3.30774900
