Time,Channel A
(ms),(V)

-500.00888966,3.27997700
-499.99888966,3.26822700
-499.98888966,3.27921400
-499.97888966,3.29950900
-499.96888966,3.27845100
-499.95888966,3.29660900
-499.94888966,3.28058700
-499.93888966,3.28501200
-499.92888966,3.29004800
-499.91888966,3.28714900
-499.90888966,3.28867500
-499.89888966,3.28928500
-499.88888966,3.28577500
-499.87888966,3.28867500
-499.86888966,3.28501200
-499.85888966,3.27555200
-499.84888967,3.26685400
-499.83888967,3.27921400
-499.82888967,3.28287600
-499.81888967,3.29371000
-499.80888967,3.29798300
-499.79888967,3.27707700
-499.78888967,3.28928500
-499.77888967,3.27707700
-499.76888967,3.28287600
-499.75888967,3.29447300
-499.74888967,3.28211300
-499.73888967,3.29447300
-499.72888967,3.28501200
-499.71888967,3.28638600
-499.70888967,3.29371000
-499.69888967,3.28424900
-499.68888967,3.29081100
-499.67888967,3.28638600
-499.66888967,3.29447300
-499.65888967,3.28348600
-499.64888967,3.27555200
-499.63888967,3.29294700
-499.62888967,3.27921400
-499.61888967,3.26029200
-499.60888967,3.28928500
-499.59888967,3.26899000
-499.58888967,3.27555200
-499.57888967,3.31186900
-499.56888967,3.28211300
-499.55888967,3.29798300
-499.54888967,3.29737200
-499.53888967,3.28348600
-499.52888967,3.28287600
-499.51888967,3.27265200
-499.50888967,3.27265200
-499.49888967,3.28287600
-499.48888967,3.28287600
-499.47888967,3.29294700
-499.46888967,3.30027200
-499.45888967,3.28791200
-499.44888968,3.30530700
-499.43888968,3.26532800
-499.42888968,3.28135000
-499.41888968,3.28211300
-499.40888968,3.27265200
-499.39888968,3.29798300
-499.38888968,3.28211300
-499.37888968,3.28638600
-499.36888968,3.29371000
-499.35888968,3.30454400
-499.34888968,3.28287600
-499.33888968,3.28638600
-499.32888968,3.28058700
-499.31888968,3.26242900
-499.30888968,3.30454400
-499.29888968,3.29157400
-499.28888968,3.28058700
-499.27888968,3.29218400
-499.26888968,3.27631400
-499.25888968,3.28867500
-499.24888968,3.29508400
-499.23888968,3.28424900
-499.22888968,3.30530700
-499.21888968,3.29081100
-499.20888968,3.28287600
-499.19888968,3.26761700
-499.18888968,3.29660900
-499.17888968,3.28577500
-499.16888968,3.30744300
-499.15888968,3.30530700
-499.14888968,3.27845100
-499.13888968,3.30607000
-499.12888968,3.28058700
-499.11888968,3.29218400
-499.10888968,3.27112700
-499.09888968,3.29157400
-499.08888968,3.30393400
-499.07888968,3.29294700
-499.06888968,3.30240800
-499.05888969,3.29081100
-499.04888969,3.28135000
-499.03888969,3.29508400
-499.02888969,3.27997700
-499.01888969,3.28867500
-499.00888969,3.27997700
-498.99888969,3.28928500
-498.98888969,3.29371000
-498.97888969,3.27921400
-498.96888969,3.28211300
-498.95888969,3.28714900
-498.94888969,3.27768800
-498.93888969,3.28638600
-498.92888969,3.29447300
-498.91888969,3.30164500
-498.90888969,3.28501200
-498.89888969,3.26761700
-498.88888969,3.26685400
-498.87888969,3.35749400
-498.86888969,3.28714900
-498.85888969,3.29157400
-498.84888969,3.27921400
-498.83888969,3.27768800
