Fx,Fy,Fz,Mx,My,Mz,known_Fx,known_Fy,known_Fz,Known_Mx,Known_My,known_Mz
-0.026,-0.049,0.013,0.001,0.002,0.002,0,0,0,0,0,0
-0.006,0.563,0,-0.01,0.002,-0.002,0,0.5886,0,0,0,0
0.042,2.04,-0.031,-0.045,0.002,-0.011,0,2.01105,0,0,0,0
0.015,1.43,-0.018,-0.029,0.001,-0.002,0,1.42245,0,0,0,0
0.055,2.772,-0.048,-0.059,0,-0.002,0,2.79585,0,0,0,0
0.107,3.91,-0.074,-0.093,0,-0.022,0,3.924,0,0,0,0
0.18,6.731,-0.129,-0.156,0,-0.037,0,6.71985,0,0,0,0
0.301,11.36,-0.22,-0.258,-0.001,-0.062,0,11.33055,0,0,0,0
0.453,15.925,-0.283,-0.362,-0.001,-0.089,0,15.8922,0,0,0,0
0.594,21.732,-0.363,-0.483,-0.003,-0.116,0,21.6801,0,0,0,0
0.026,0.007,-0.076,0.001,0,-0.005,0,0,0,0,0,0
0.048,0.608,-0.107,-0.093,0.002,-0.012,0,0.5886,0,-0.08829,0,0
0.072,2.055,-0.166,-0.32,0.005,-0.026,0,2.01105,0,-0.3016575,0,0
0.057,1.458,-0.139,-0.228,0.003,-0.021,0,1.42245,0,-0.2133675,0,0
0.094,2.768,-0.202,-0.433,0.007,-0.031,0,2.79585,0,-0.4193775,0,0
0.147,6.633,-0.336,-1.04,0.016,-0.06,0,3.924,0,-1.0079775,0,0
0.092,3.869,-0.227,-0.61,0.008,-0.038,0,6.71985,0,-0.5886,0,0
0.223,11.184,-0.467,-1.749,0.026,-0.091,0,11.33055,0,-1.6995825,0,0
0.208,15.688,-0.531,-2.432,0.03,-0.114,0,15.8922,0,-2.38383,0,0
0.191,21.418,-0.584,-3.288,0.027,-0.137,0,21.6801,0,-3.252015,0,0
0.038,-0.018,0.023,-0.001,0,0.007,0,0,0,0,0,0
-0.575,0.015,0.033,0,-0.013,0.014,-0.5886,0,0,0,0,0
-2.041,0.002,0.056,0,-0.044,0.028,-2.01105,0,0,0,0,0
-1.438,0.015,0.037,0,-0.029,0.017,-1.42245,0,0,0,0,0
-2.785,0.031,0.064,0,-0.053,0.023,-2.79585,0,0,0,0,0
-3.921,0.036,0.08,0,-0.073,0.03,-3.924,0,0,0,0,0
-6.743,0.077,0.135,-0.002,-0.12,0.049,-6.71985,0,0,0,0,0
-11.39,0.095,0.247,-0.004,-0.21,0.068,-11.33055,0,0,0,0,0
-16.006,0.149,0.346,-0.007,-0.296,0.093,-15.8922,0,0,0,0,0
-21.867,0.21,0.525,-0.01,-0.41,0.119,-21.6801,0,0,0,0,0
-0.059,-0.002,-0.033,0,0,0.003,0,0,0,0,0,0
-0.693,-0.005,0.026,0,-0.093,0.012,-0.5886,0,0,0,-0.08829,0
-2.253,0,0.149,-0.001,-0.315,0.034,-2.01105,0,0,0,-0.3016575,0
-1.612,-0.009,0.104,0,-0.225,0.02,-1.42245,0,0,0,-0.2133675,0
-3.022,0.012,0.225,-0.002,-0.424,0.041,-2.79585,0,0,0,-0.4193775,0
-4.204,-0.006,0.328,-0.002,-0.591,0.055,-3.924,0,0,0,-0.5886,0
-7.167,0.023,0.599,-0.002,-1.01,0.087,-6.71985,0,0,0,-1.0079775,0
-12.025,0.031,1.096,0.008,-1.693,0.143,-11.33055,0,0,0,-1.6995825,0
-16.817,0.06,1.599,0.014,-2.363,0.194,-15.8922,0,0,0,-2.38383,0
-22.892,0.106,2.236,0.022,-3.212,0.258,-21.6801,0,0,0,-3.252015,0
-0.017,0.005,-0.035,0,0.001,0.004,0,0,0,0,0,0
-0.636,-0.021,-0.012,0,-0.025,0.087,-0.5886,0,0,0,0,0.08829
-2.133,-0.009,0.034,0.001,-0.078,0.29,-2.01105,0,0,0,0,0.3016575
-1.524,0.019,0.004,0,-0.054,0.21,-1.42245,0,0,0,0,0.2133675
-2.876,0.046,0.057,0.002,-0.1,0.389,-2.79585,0,0,0,0,0.4193775
-4.021,0.043,0.087,0.002,-0.14,0.54,-3.924,0,0,0,0,0.5886
-6.881,0.044,0.2,0.005,-0.241,0.924,-6.71985,0,0,0,0,1.0079775
-11.557,0.088,0.334,0.003,-0.409,1.545,-11.33055,0,0,0,0,1.6995825
-16.207,0.199,0.608,0.018,-0.572,2.169,-15.8922,0,0,0,0,2.38383
-22.078,0.229,0.878,0.03,-0.782,2.952,-21.6801,0,0,0,0,3.252015
0.004,-0.059,0.033,0.001,0,0.003,,,,,,
-0.599,-0.065,0.064,0.002,-0.014,0.096,,,,,,
-2.091,-0.097,0.117,0.005,-0.046,0.309,,,,,,
-1.48,-0.058,0.1,0.005,-0.034,0.224,,,,,,
-2.826,-0.084,0.162,0.008,-0.065,0.415,,,,,,
-3.963,-0.09,0.179,0.006,-0.087,0.575,,,,,,
-6.793,-0.033,0.243,0.007,-0.137,0.974,,,,,,
-11.446,0.063,0.458,0.021,-0.217,1.626,,,,,,
-16.054,0.116,0.614,0.027,-0.309,2.276,,,,,,
-21.871,0.412,0.849,0.038,-0.407,3.088,,,,,,
-0.014,-0.013,0.016,0.004,-0.005,0.000,,,,,,
-0.032,-0.025,-0.578,0.003,-0.009,-0.001,,,,,,
-0.061,-0.053,-2.051,-0.01,-0.002,-0.003,,,,,,
-0.058,-0.044,-1.444,-0.023,-0.011,-0.003,,,,,,
-0.069,-0.068,-2.765,0.028,-0.031,-0.000,,,,,,
-0.101,-0.095,-3.893,-0.048,-0.034,-0.002,,,,,,
-0.136,-0.14,-6.708,-0.058,-0.045,-0.001,,,,,,
-0.153,-0.198,-11.347,-0.022,-0.05,0.002,,,,,,
-0.195,-0.255,-15.894,0.029,-0.128,0.009,,,,,,
-0.243,-0.322,-21.67,0.077,-0.213,0.016,,,,,,
