force_x,force_y,force_z,sensor_x,sensor_y,sensor_z,corrected_x,corrected_y,corrected_z,,,orientation,load on x,load on y,load on z,reading on x,reading on y,reading on z,compensate for orientation x,y,z
0,0,0,-591350,-608700,731000,-452825,-604950,926820,,,z up,0,0,0,-452825,-604950,926820,,,
151,0,0,-844100,-611800,737500,-705575,-608050,933320,,,sideways align to x,0,0,0,-591350,-608700,731000,138525,3750,195820
287,0,0,-1070800,-614000,744100,-932275,-610250,939920,,,sideways align to y,0,0,0,-450200,-517200,717100,-2625,-87750,209720
589,0,0,-1575700,-618700,755400,-1437175,-614950,951220,,,z down,0,0,0,-450340,-607240,529500,-2485,2290,397320
872.1,0,0,-2048200,-624000,765500,-1909675,-620250,961320,,,,,,,,,,,,
0,0,0,-450200,-517200,717100,-452825,-604950,926820,,,,,,,,,,,,
0,151,0,-456000,-262000,712300,-458625,-349750,922020,,,,,,,,,,,,
0,287,0,-462600,-32800,707400,-465225,-120550,917120,,,,,,,,,,,,
0,589,0,-477000,467500,700600,-479625,379750,910320,,,,,,,,,,,,
0,872.1,0,-490000,938000,690500,-492625,850250,900220,,,,,,,,,,,,
0,0,0,-450340,-607240,529500,-452825,-604950,926820,,,,,,,,,,,,
0,0,-151,-452390,-608720,285790,-454875,-606430,683110,,,,,,,,,,,,
0,0,-287,-454160,-609570,67260,-456645,-607280,464580,,,,,,,,,,,,
0,0,-589,-457770,-615290,-420140,-460255,-613000,-22820,,,,,,,,,,,,
0,0,-872.1,-465010,-621390,-876450,-467495,-619100,-479130,,,,,,,,,,,,
