Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),a (),b (),c ()
0,1697971658806,1.9586872E7,226980.0,651420.0
1,1697971658807,1.9587044E7,224820.0,651780.0
2,1697971658807,1.9587216E7,226260.0,655560.0
3,1697971658807,1.958739E7,226800.0,655560.0
4,1697971658807,1.9587562E7,227160.0,655200.0
5,1697971658807,1.9587736E7,225720.0,654480.0
6,1697971658807,1.9587908E7,227340.0,660960.0
7,1697971658807,1.958808E7,227160.0,655740.0
8,1697971658807,1.9588254E7,227340.0,655560.0
9,1697971658807,1.9588428E7,225540.0,654120.0
10,1697971658807,1.95886E7,225540.0,653760.0
11,1697971658807,1.9588772E7,226620.0,661680.0
12,1697971658807,1.9588944E7,225720.0,655020.0
13,1697971658807,1.9589118E7,226620.0,655380.0
14,1697971658807,1.9589292E7,226080.0,654300.0
15,1697971658807,1.9589464E7,226800.0,655380.0
16,1697971658807,1.9589636E7,226620.0,653040.0
17,1697971658807,1.958981E7,226440.0,654480.0
18,1697971658807,1.9589982E7,225900.0,659880.0
19,1697971658807,1.9590156E7,225720.0,657180.0
20,1697971658807,1.9590328E7,227700.0,656280.0
21,1697971658807,1.95905E7,225900.0,653940.0
22,1697971658807,1.9590674E7,226080.0,652140.0
23,1697971658807,1.9590848E7,226800.0,653400.0
24,1697971658807,1.959102E7,227160.0,656460.0
25,1697971658808,1.9591192E7,225900.0,660240.0
26,1697971658808,1.9591364E7,225900.0,657540.0
27,1697971658808,1.9591538E7,226440.0,649080.0
28,1697971658808,1.9591712E7,227520.0,648360.0
29,1697971658809,1.9591884E7,226080.0,653400.0
30,1697971658809,1.9592056E7,226080.0,655020.0
31,1697971658809,1.959223E7,226800.0,647100.0
32,1697971658809,1.9592404E7,224820.0,654480.0
33,1697971658809,1.9592576E7,226080.0,656460.0
34,1697971658809,1.9592748E7,226980.0,649620.0
35,1697971658809,1.959292E7,226620.0,654480.0
36,1697971658809,1.9593094E7,226080.0,652860.0
37,1697971658809,1.9593268E7,225900.0,657180.0
38,1697971658809,1.959344E7,226980.0,654660.0
39,1697971658809,1.9593612E7,226980.0,655740.0
40,1697971658809,1.9593786E7,226260.0,655380.0
41,1697971658811,1.9593958E7,227160.0,653940.0
42,1697971658811,1.9594132E7,227520.0,655740.0
43,1697971658811,1.9594304E7,225180.0,658260.0
44,1697971658811,1.9594476E7,226260.0,652500.0
45,1697971658811,1.959465E7,226620.0,647460.0
46,1697971658811,1.9594824E7,228240.0,654660.0
47,1697971658811,1.9594996E7,226980.0,655380.0
48,1697971658811,1.9595168E7,226440.0,655020.0
49,1697971658811,1.959534E7,226080.0,655200.0
50,1697971658812,1.9595514E7,226080.0,648540.0
51,1697971658812,1.9595688E7,226800.0,653400.0
52,1697971658812,1.959586E7,225900.0,656820.0
53,1697971658812,1.9596032E7,226080.0,652500.0
54,1697971658812,1.9596204E7,227160.0,658800.0
55,1697971658812,1.9596378E7,225900.0,655740.0
56,1697971658814,1.9596552E7,226260.0,657360.0
57,1697971658814,1.9596724E7,225360.0,657180.0
58,1697971658814,1.9596896E7,226440.0,660600.0
59,1697971658814,1.959707E7,225540.0,655380.0
60,1697971658814,1.9597244E7,226080.0,653580.0
61,1697971658814,1.9597416E7,226440.0,655920.0
62,1697971658814,1.9597588E7,226080.0,652140.0
63,1697971658814,1.959776E7,226980.0,653940.0
64,1697971658814,1.9597934E7,225000.0,651240.0
65,1697971658814,1.9598108E7,225720.0,653220.0
66,1697971658814,1.959828E7,226980.0,658260.0
67,1697971658816,1.9598452E7,227340.0,660600.0
68,1697971658816,1.9598624E7,226080.0,658440.0
69,1697971658816,1.9598798E7,225900.0,653220.0
70,1697971658816,1.9598972E7,226440.0,660780.0
71,1697971658816,1.9599144E7,226260.0,655380.0
72,1697971658816,1.9599316E7,226440.0,661500.0
73,1697971658816,1.959949E7,225540.0,655560.0
74,1697971658816,1.9599662E7,225540.0,658080.0
75,1697971658816,1.9599836E7,226080.0,659340.0
76,1697971658816,1.9600008E7,226080.0,650880.0
77,1697971658816,1.960018E7,225900.0,650520.0
78,1697971658816,1.9600354E7,226980.0,656100.0
79,1697971658818,1.9600528E7,226260.0,657000.0
80,1697971658818,1.96007E7,226620.0,657720.0
81,1697971658818,1.9600872E7,224820.0,665280.0
82,1697971658818,1.9601044E7,225720.0,660780.0
83,1697971658818,1.9601218E7,225360.0,657540.0
84,1697971658818,1.9601392E7,226620.0,658080.0
85,1697971658818,1.9601564E7,226080.0,659700.0
86,1697971658818,1.9601736E7,225000.0,659520.0
87,1697971658818,1.960191E7,227520.0,661140.0
88,1697971658818,1.9602082E7,225360.0,659520.0
89,1697971658818,1.9602256E7,226080.0,660960.0
90,1697971658819,1.9602428E7,226980.0,651060.0
