Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),635 (),Degraw (),tal ()
0,1697378822702,8.0531168E8,639321.0,-732635.0,-963951.0
1,1697378822815,8.0542483E8,639604.0,-733441.0,-964481.0
2,1697378822927,8.0553798E8,640301.0,-732148.0,-963961.0
3,1697378823042,8.056512E8,639219.0,-732592.0,-964480.0
4,1697378823154,8.0576435E8,639386.0,-732944.0,-964408.0
5,1697378823268,8.058775E8,640231.0,-732995.0,-964016.0
6,1697378823381,8.0599066E8,639536.0,-732937.0,-964193.0
7,1697378823494,8.0610387E8,639450.0,-733117.0,-964568.0
8,1697378823606,8.0621702E8,639702.0,-732413.0,-964435.0
9,1697378823720,8.0633018E8,639483.0,-733025.0,-964540.0
10,1697378823833,8.0644339E8,639721.0,-732902.0,-964776.0
11,1697378823946,8.0655654E8,639665.0,-732924.0,-963755.0
12,1697378824059,8.066697E8,639654.0,-733000.0,-964220.0
13,1697378824173,8.0678291E8,639882.0,-732914.0,-964500.0
14,1697378824286,8.0689606E8,639880.0,-733019.0,-964042.0
15,1697378824399,8.0700922E8,639583.0,-732948.0,-964734.0
16,1697378824512,8.0712243E8,639823.0,-732928.0,-964646.0
17,1697378824626,8.0723558E8,639749.0,-732843.0,-963674.0
18,1697378824739,8.0734874E8,639351.0,-732901.0,-964524.0
19,1697378824851,8.0746195E8,639855.0,-732548.0,-964147.0
20,1697378824965,8.075751E8,639692.0,-732999.0,-964048.0
21,1697378825077,8.0768832E8,639418.0,-732973.0,-964512.0
22,1697378825191,8.0780147E8,639764.0,-732736.0,-964567.0
23,1697378825305,8.0791469E8,639402.0,-733039.0,-963946.0
24,1697378825418,8.0802784E8,639746.0,-732964.0,-964082.0
25,1697378825531,8.0814106E8,639622.0,-733185.0,-964617.0
26,1697378825645,8.0825421E8,639648.0,-732689.0,-964278.0
27,1697378825758,8.0836742E8,639223.0,-732917.0,-964376.0
28,1697378825871,8.0848058E8,639962.0,-732261.0,-964444.0
29,1697378825983,8.0859379E8,639732.0,-732777.0,-964061.0
30,1697378826097,8.0870694E8,639658.0,-733045.0,-964793.0
31,1697378826209,8.0882016E8,639354.0,-733009.0,-964879.0
32,1697378826323,8.0893331E8,639594.0,-732482.0,-964618.0
33,1697378826437,8.0904653E8,639537.0,-732881.0,-964186.0
34,1697378826550,8.0915968E8,639462.0,-733006.0,-964406.0
35,1697378826663,8.092729E8,639367.0,-732680.0,-964155.0
36,1697378826776,8.0938605E8,639298.0,-732981.0,-964882.0
37,1697378826889,8.094992E8,639397.0,-733092.0,-964084.0
38,1697378827003,8.0961242E8,639069.0,-733085.0,-964125.0
39,1697378827116,8.0972557E8,638894.0,-732633.0,-964529.0
40,1697378827229,8.0983878E8,639790.0,-732749.0,-964346.0
41,1697378827341,8.0995194E8,639581.0,-732673.0,-964024.0
42,1697378827454,8.1006515E8,639580.0,-732782.0,-964716.0
43,1697378827569,8.101783E8,639847.0,-733356.0,-964348.0
44,1697378827681,8.1029146E8,639330.0,-732981.0,-964153.0
45,1697378827794,8.1040467E8,639350.0,-732849.0,-965117.0
46,1697378827907,8.1051782E8,640117.0,-732631.0,-964138.0
47,1697378828021,8.1063104E8,639342.0,-733168.0,-964195.0
48,1697378828134,8.1074419E8,639317.0,-733486.0,-964234.0
49,1697378828248,8.1085741E8,639631.0,-732598.0,-963990.0
50,1697378828360,8.1097056E8,638915.0,-733259.0,-964076.0
51,1697378828474,8.1108378E8,639805.0,-733199.0,-964891.0
52,1697378828587,8.1119693E8,640095.0,-732737.0,-964286.0
53,1697378828699,8.1131008E8,639300.0,-732655.0,-964235.0
54,1697378828814,8.114233E8,638956.0,-732988.0,-964468.0
55,1697378828926,8.1153645E8,639750.0,-732700.0,-963969.0
56,1697378829039,8.1164966E8,639011.0,-733463.0,-964472.0
57,1697378829153,8.1176282E8,638957.0,-733143.0,-964700.0
58,1697378829266,8.1187603E8,639671.0,-732849.0,-964046.0
59,1697378829380,8.1198918E8,639548.0,-733258.0,-964000.0
60,1697378829493,8.121024E8,639075.0,-733042.0,-964464.0
61,1697378829605,8.1221555E8,639320.0,-732764.0,-964171.0
62,1697378829719,8.1232877E8,639120.0,-733246.0,-964585.0
63,1697378829832,8.1244192E8,639701.0,-732698.0,-964461.0
64,1697378829945,8.1255514E8,639533.0,-732738.0,-963869.0
65,1697378830059,8.1266829E8,638865.0,-733050.0,-964305.0
66,1697378830171,8.127815E8,639134.0,-733469.0,-964764.0
67,1697378830284,8.1289466E8,639582.0,-732771.0,-963678.0
68,1697378830397,8.1300787E8,639507.0,-733463.0,-964590.0
69,1697378830511,8.1312102E8,639227.0,-733012.0,-964592.0
70,1697378830625,8.1323424E8,639653.0,-733178.0,-964031.0
71,1697378830738,8.1334739E8,639358.0,-732647.0,-964551.0
72,1697378830850,8.1346054E8,638943.0,-732859.0,-964427.0
73,1697378830964,8.1357376E8,639720.0,-732952.0,-964077.0
74,1697378831078,8.1368691E8,639015.0,-733183.0,-964434.0
75,1697378831190,8.1380006E8,639465.0,-732832.0,-964609.0
76,1697378831302,8.1391322E8,638951.0,-732971.0,-964332.0
77,1697378831416,8.1402643E8,638575.0,-732926.0,-964688.0
78,1697378831530,8.1413958E8,639283.0,-733466.0,-963850.0
79,1697378831643,8.1425274E8,639248.0,-733059.0,-964021.0
80,1697378831756,8.1436595E8,638994.0,-732749.0,-964639.0
81,1697378831868,8.144791E8,639479.0,-733482.0,-964719.0
82,1697378831982,8.1459226E8,639443.0,-732796.0,-964031.0
83,1697378832096,8.1470547E8,638677.0,-733265.0,-964415.0
84,1697378832208,8.1481862E8,639579.0,-732617.0,-964203.0
85,1697378832321,8.1493178E8,639841.0,-733168.0,-964584.0
86,1697378832436,8.1504499E8,639495.0,-733419.0,-964463.0
87,1697378832548,8.1515814E8,639591.0,-732707.0,-964588.0
88,1697378832660,8.152713E8,638948.0,-733148.0,-964407.0
89,1697378832774,8.1538445E8,639176.0,-733171.0,-964396.0
90,1697378832887,8.1549766E8,639304.0,-732886.0,-964612.0
91,1697378833001,8.1561082E8,639298.0,-733084.0,-963930.0
92,1697378833114,8.1572397E8,638865.0,-733835.0,-964783.0
93,1697378833227,8.1583712E8,639310.0,-733158.0,-964388.0
94,1697378833340,8.1595034E8,638814.0,-732969.0,-964625.0
95,1697378833454,8.1606349E8,639096.0,-733074.0,-965158.0
96,1697378833566,8.1617664E8,639273.0,-733073.0,-964469.0
97,1697378833679,8.1628979E8,639470.0,-733318.0,-964443.0
98,1697378833792,8.1640294E8,639101.0,-732936.0,-964427.0
99,1697378833906,8.1651616E8,639958.0,-733325.0,-964095.0
100,1697378834019,8.1662931E8,639299.0,-733257.0,-964793.0
101,1697378834132,8.1674246E8,639481.0,-733134.0,-964287.0
102,1697378834245,8.1685562E8,639583.0,-732571.0,-964182.0
103,1697378834359,8.1696883E8,638760.0,-732798.0,-964215.0
104,1697378834472,8.1708198E8,639057.0,-732915.0,-964853.0
105,1697378834584,8.1719514E8,639103.0,-732958.0,-964182.0
106,1697378834699,8.1730829E8,639215.0,-733408.0,-964419.0
107,1697378834811,8.1742144E8,638820.0,-733133.0,-964738.0
108,1697378834924,8.1753466E8,638784.0,-732829.0,-963998.0
109,1697378835037,8.1764781E8,638803.0,-732920.0,-964212.0
110,1697378835150,8.1776096E8,639489.0,-733162.0,-964860.0
111,1697378835265,8.1787411E8,639216.0,-732930.0,-963652.0
112,1697378835378,8.1798733E8,639126.0,-732959.0,-964190.0
113,1697378835490,8.1810048E8,638605.0,-733019.0,-964696.0
114,1697378835604,8.1821363E8,639138.0,-733058.0,-963771.0
115,1697378835716,8.1832678E8,638124.0,-733601.0,-964232.0
116,1697378835830,8.1843994E8,638940.0,-733465.0,-964845.0
117,1697378835944,8.1855315E8,639676.0,-733536.0,-964115.0
118,1697378836056,8.186663E8,638337.0,-733383.0,-964245.0
119,1697378836170,8.1877946E8,638958.0,-733201.0,-964664.0
120,1697378836282,8.1889261E8,639112.0,-733306.0,-964204.0
121,1697378836396,8.1900576E8,638544.0,-733058.0,-964699.0
122,1697378836509,8.1911891E8,639640.0,-733243.0,-964635.0
123,1697378836623,8.1923206E8,639379.0,-732957.0,-964089.0
124,1697378836735,8.1934522E8,638537.0,-733304.0,-964714.0
125,1697378836848,8.1945843E8,639096.0,-733485.0,-964706.0
126,1697378836961,8.1957158E8,638885.0,-733163.0,-964325.0
127,1697378837074,8.1968474E8,638264.0,-732732.0,-964758.0
128,1697378837188,8.1979789E8,638664.0,-733217.0,-964847.0
129,1697378837300,8.1991104E8,639312.0,-733333.0,-964353.0
130,1697378837414,8.2002419E8,638544.0,-733525.0,-964356.0
131,1697378837528,8.2013734E8,639096.0,-733008.0,-964943.0
132,1697378837641,8.202505E8,639285.0,-733111.0,-964483.0
133,1697378837754,8.2036371E8,638558.0,-733015.0,-964829.0
134,1697378837866,8.2047686E8,639158.0,-732988.0,-964227.0
135,1697378837980,8.2059002E8,638833.0,-733181.0,-964697.0
136,1697378838093,8.2070317E8,638876.0,-732816.0,-964604.0
137,1697378838206,8.2081632E8,638628.0,-732999.0,-964674.0
138,1697378838319,8.2092947E8,638987.0,-732489.0,-964435.0
139,1697378838432,8.2104269E8,638680.0,-732859.0,-965097.0
140,1697378838546,8.2115584E8,639524.0,-733046.0,-964261.0
141,1697378838659,8.2126899E8,638745.0,-733531.0,-963678.0
142,1697378838773,8.2138214E8,638261.0,-732906.0,-964828.0
143,1697378838885,8.2149536E8,639172.0,-732902.0,-964588.0
144,1697378838998,8.2160851E8,638873.0,-733191.0,-964396.0
145,1697378839112,8.2172166E8,638686.0,-732724.0,-964357.0
146,1697378839224,8.2183488E8,639155.0,-732750.0,-964576.0
147,1697378839338,8.2194803E8,638789.0,-733141.0,-963963.0
148,1697378839450,8.2206118E8,638572.0,-733505.0,-964984.0
149,1697378839565,8.2217434E8,638861.0,-732908.0,-964428.0
150,1697378839678,8.2228749E8,638594.0,-732763.0,-963683.0
151,1697378839790,8.224007E8,638595.0,-733476.0,-964666.0
152,1697378839904,8.2251386E8,639023.0,-733086.0,-964238.0
153,1697378840018,8.2262701E8,638336.0,-733254.0,-964200.0
154,1697378840129,8.2274022E8,638451.0,-733440.0,-964623.0
155,1697378840242,8.2285338E8,639278.0,-733161.0,-964160.0
156,1697378840356,8.2296653E8,638457.0,-732689.0,-964469.0
157,1697378840469,8.2307974E8,638545.0,-733803.0,-964824.0
158,1697378840582,8.231929E8,638999.0,-733104.0,-964198.0
159,1697378840695,8.2330611E8,638648.0,-733194.0,-964485.0
160,1697378840809,8.2341926E8,638874.0,-733275.0,-964793.0
161,1697378840923,8.2353242E8,638550.0,-733164.0,-964293.0
162,1697378841035,8.2364563E8,638497.0,-733530.0,-963699.0
163,1697378841149,8.2375878E8,638538.0,-733148.0,-964955.0
164,1697378841262,8.23872E8,639136.0,-733092.0,-964183.0
165,1697378841374,8.2398515E8,638285.0,-733364.0,-964482.0
166,1697378841488,8.240983E8,638280.0,-733404.0,-964995.0
167,1697378841601,8.2421152E8,638516.0,-733008.0,-964371.0
168,1697378841714,8.2432467E8,638284.0,-733186.0,-964817.0
169,1697378841828,8.2443789E8,638173.0,-733777.0,-965126.0
170,1697378841941,8.2455104E8,638867.0,-732782.0,-963950.0
171,1697378842054,8.2466419E8,638760.0,-732867.0,-964503.0
172,1697378842168,8.2477741E8,638525.0,-733184.0,-964780.0
173,1697378842281,8.2489056E8,638548.0,-733383.0,-964284.0
174,1697378842394,8.2500371E8,638230.0,-733138.0,-964660.0
175,1697378842507,8.2511693E8,638470.0,-733285.0,-964959.0
176,1697378842620,8.2523008E8,638852.0,-733345.0,-963848.0
177,1697378842733,8.253433E8,638163.0,-732974.0,-964309.0
178,1697378842847,8.2545645E8,638516.0,-732873.0,-964488.0
179,1697378842959,8.255696E8,639012.0,-732794.0,-964199.0
180,1697378843072,8.2568282E8,638212.0,-733221.0,-964253.0
181,1697378843186,8.2579597E8,638879.0,-733142.0,-964331.0
182,1697378843299,8.2590912E8,638955.0,-732511.0,-964175.0
183,1697378843412,8.2602234E8,638096.0,-733589.0,-964203.0
184,1697378843526,8.2613549E8,638593.0,-733124.0,-964112.0
185,1697378843638,8.2624864E8,638588.0,-733290.0,-964579.0
186,1697378843752,8.2636186E8,638655.0,-733176.0,-964358.0
187,1697378843865,8.2647501E8,638388.0,-733715.0,-964882.0
188,1697378843978,8.2658816E8,639126.0,-733050.0,-964417.0
189,1697378844091,8.2670131E8,638128.0,-732749.0,-964865.0
190,1697378844204,8.2681453E8,638713.0,-733444.0,-964856.0
191,1697378844318,8.2692768E8,638391.0,-733322.0,-964553.0
192,1697378844430,8.2704083E8,638657.0,-733348.0,-964079.0
193,1697378844543,8.2715398E8,638517.0,-733757.0,-964836.0
194,1697378844657,8.272672E8,639009.0,-732940.0,-963971.0
195,1697378844770,8.2738035E8,638684.0,-733259.0,-964484.0
196,1697378844883,8.274935E8,638685.0,-732828.0,-964830.0
197,1697378844996,8.2760666E8,638666.0,-733341.0,-964452.0
198,1697378845109,8.2771987E8,638333.0,-733543.0,-964888.0
199,1697378845223,8.2783302E8,638328.0,-732391.0,-965165.0
200,1697378845337,8.2794618E8,638425.0,-733045.0,-964092.0
201,1697378845449,8.2805939E8,637977.0,-733212.0,-964485.0
202,1697378845562,8.2817254E8,639043.0,-732898.0,-965119.0
203,1697378845676,8.282857E8,638543.0,-732709.0,-964279.0
204,1697378845789,8.2839885E8,638609.0,-733239.0,-964478.0
205,1697378845903,8.2851206E8,638769.0,-733292.0,-964422.0
206,1697378846015,8.2862522E8,638794.0,-733211.0,-964787.0
207,1697378846128,8.2873837E8,638038.0,-733540.0,-964443.0
208,1697378846241,8.2885158E8,638430.0,-733171.0,-964681.0
209,1697378846354,8.2896474E8,638250.0,-732960.0,-964133.0
210,1697378846469,8.2907789E8,638230.0,-733042.0,-964414.0
211,1697378846580,8.2919104E8,638877.0,-733179.0,-964586.0
212,1697378846694,8.2930426E8,638729.0,-733173.0,-964410.0
213,1697378846808,8.2941741E8,638236.0,-733026.0,-964719.0
214,1697378846920,8.2953056E8,638589.0,-733183.0,-964396.0
215,1697378847034,8.2964378E8,638613.0,-733142.0,-964464.0
216,1697378847146,8.2975693E8,638325.0,-733374.0,-964378.0
217,1697378847260,8.2987008E8,638461.0,-732785.0,-964140.0
218,1697378847373,8.2998323E8,638559.0,-732844.0,-964318.0
219,1697378847486,8.3009645E8,638500.0,-733214.0,-965007.0
220,1697378847599,8.302096E8,638580.0,-732757.0,-964606.0
221,1697378847712,8.3032275E8,637854.0,-733178.0,-964500.0
222,1697378847827,8.304359E8,638031.0,-733007.0,-964835.0
