Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),micros (),CZL635 (),Degraw (),TAL220 ()
0,1697377408293,2.27857126E9,664756.0,-695919.0,-944387.0
1,1697377408515,2.27879501E9,664265.0,-696125.0,-944359.0
2,1697377408739,2.2790185E9,664482.0,-695773.0,-944283.0
3,1697377408961,2.27924224E9,664698.0,-695928.0,-944826.0
4,1697377409185,2.27946573E9,664974.0,-696444.0,-944815.0
5,1697377409409,2.27968947E9,664750.0,-696297.0,-944926.0
6,1697377409634,2.27991296E9,664585.0,-696252.0,-944354.0
7,1697377409857,2.2801367E9,664652.0,-696196.0,-944319.0
8,1697377410080,2.28036045E9,664708.0,-695908.0,-944578.0
9,1697377410304,2.28058394E9,664987.0,-696237.0,-944914.0
10,1697377410527,2.28080768E9,664622.0,-696368.0,-944589.0
11,1697377410751,2.28103117E9,664555.0,-696177.0,-944405.0
12,1697377410974,2.28125491E9,664523.0,-696276.0,-944293.0
13,1697377411198,2.2814784E9,664442.0,-696309.0,-944577.0
14,1697377411422,2.28170214E9,665190.0,-696212.0,-944911.0
15,1697377411645,2.28192563E9,665144.0,-696252.0,-944824.0
16,1697377411870,2.28214938E9,664386.0,-696011.0,-944584.0
17,1697377412093,2.28237312E9,664488.0,-696437.0,-944360.0
18,1697377412317,2.28259661E9,664712.0,-696103.0,-944778.0
19,1697377412542,2.28282035E9,665197.0,-696092.0,-944985.0
20,1697377412765,2.28304384E9,665387.0,-696207.0,-945027.0
21,1697377412988,2.28326758E9,664948.0,-696388.0,-944310.0
22,1697377413211,2.28349107E9,664630.0,-696062.0,-944530.0
23,1697377413435,2.28371482E9,664744.0,-696267.0,-944886.0
24,1697377413658,2.2839383E9,664838.0,-696156.0,-944838.0
25,1697377413883,2.28416205E9,664768.0,-696367.0,-944825.0
26,1697377414106,2.28438579E9,664507.0,-696305.0,-944237.0
27,1697377414329,2.28460928E9,665016.0,-696007.0,-944535.0
28,1697377414553,2.28483302E9,664512.0,-696202.0,-944480.0
29,1697377414776,2.28505651E9,665071.0,-696002.0,-944819.0
30,1697377415001,2.28528026E9,664922.0,-696262.0,-944698.0
31,1697377415224,2.285504E9,664827.0,-696491.0,-944358.0
32,1697377415448,2.28572749E9,664401.0,-695911.0,-944052.0
