Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
0,1702727351406,1.33863744E8,152.41898
1,1702727351406,1.33864088E8,152.61266
2,1702727351406,1.33864432E8,151.48358
3,1702727351406,1.33864776E8,151.84587
4,1702727351406,1.3386512E8,149.69278
5,1702727351406,1.33865464E8,151.88837
6,1702727351406,1.33865816E8,151.8808
7,1702727351406,1.3386616E8,151.8854
8,1702727351406,1.33866504E8,149.53731
9,1702727351406,1.33866848E8,150.61566
10,1702727351406,1.33867192E8,150.51653
11,1702727351407,1.33867536E8,148.64142
12,1702727351407,1.33867888E8,150.61072
13,1702727351407,1.33868232E8,148.51
14,1702727351407,1.33868576E8,150.00305
15,1702727351407,1.3386892E8,147.90955
16,1702727351409,1.33869264E8,148.90358
17,1702727351409,1.33869608E8,148.63943
18,1702727351409,1.33869952E8,149.4454
19,1702727351409,1.33870304E8,148.4978
20,1702727351409,1.33870648E8,148.17831
21,1702727351409,1.33870992E8,147.18987
22,1702727351411,1.33871336E8,146.7406
23,1702727351411,1.3387168E8,148.62857
24,1702727351411,1.33872032E8,148.07916
25,1702727351411,1.33872376E8,148.62099
26,1702727351411,1.3387272E8,148.0515
27,1702727351411,1.33873064E8,149.26193
28,1702727351412,1.33873408E8,148.64899
29,1702727351412,1.33873752E8,148.64899
30,1702727351413,1.33874096E8,148.47739
31,1702727351413,1.33874448E8,148.55807
32,1702727351413,1.33874792E8,149.13516
33,1702727351414,1.33875136E8,149.59924
34,1702727351414,1.3387548E8,151.25467
35,1702727351414,1.33875824E8,149.74384
36,1702727351416,1.33876168E8,150.64136
37,1702727351416,1.3387652E8,151.1048
38,1702727351416,1.33876864E8,150.78793
39,1702727351416,1.33877208E8,152.04779
40,1702727351416,1.33877552E8,151.7958
41,1702727351417,1.33877896E8,153.38736
42,1702727351417,1.3387824E8,152.97858
43,1702727351418,1.33878592E8,151.6262
44,1702727351418,1.33878936E8,152.76483
45,1702727351418,1.3387928E8,150.33406
46,1702727351419,1.33879624E8,152.72762
47,1702727351419,1.33879968E8,152.5155
48,1702727351419,1.33880312E8,151.85313
49,1702727351420,1.33880656E8,151.78264
50,1702727351420,1.33881008E8,152.0458
51,1702727351420,1.33881352E8,152.61363
52,1702727351421,1.33881696E8,153.5326
53,1702727351421,1.3388204E8,154.12349
54,1702727351421,1.33882384E8,153.22595
55,1702727351422,1.33882736E8,154.63138
56,1702727351422,1.3388308E8,152.87846
57,1702727351422,1.33883424E8,152.81653
58,1702727351423,1.33883768E8,153.71968
59,1702727351423,1.33884112E8,152.057
60,1702727351423,1.33884456E8,153.40742
61,1702727351425,1.338848E8,152.74802
62,1702727351425,1.33885152E8,150.55804
63,1702727351425,1.33885496E8,153.77798
64,1702727351425,1.3388584E8,150.77377
65,1702727351425,1.33886184E8,150.81462
66,1702727351425,1.33886528E8,150.27641
67,1702727351426,1.33886872E8,150.52016
68,1702727351426,1.33887216E8,149.39272
69,1702727351427,1.33887568E8,148.37263
70,1702727351427,1.33887912E8,150.2201
71,1702727351427,1.33888256E8,149.06004
72,1702727351427,1.338886E8,148.78142
73,1702727351429,1.33888944E8,148.91643
74,1702727351429,1.33889296E8,148.70529
75,1702727351429,1.3388964E8,148.12166
76,1702727351429,1.33889984E8,149.10846
77,1702727351429,1.33890328E8,150.29224
78,1702727351431,1.33890672E8,146.20866
79,1702727351431,1.33891016E8,147.40923
80,1702727351431,1.3389136E8,148.36739
81,1702727351431,1.33891712E8,148.31335
82,1702727351431,1.33892056E8,148.03667
83,1702727351431,1.338924E8,146.50906
84,1702727351433,1.33892744E8,148.31729
85,1702727351433,1.33893088E8,147.90854
86,1702727351433,1.33893432E8,148.20235
87,1702727351433,1.33893776E8,149.24187
88,1702727351433,1.33894128E8,150.45264
89,1702727351433,1.33894472E8,148.60353
90,1702727351435,1.33894816E8,150.64696
91,1702727351435,1.3389516E8,150.27544
92,1702727351435,1.33895504E8,149.56233
