Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
0,1702665120991,5.3779968E8,132.37813
1,1702665120992,5.378E8,132.02339
2,1702665120992,5.3780038E8,134.55038
3,1702665120992,5.378007E8,134.54578
4,1702665120992,5.3780109E8,133.72333
5,1702665120992,5.3780141E8,134.85637
6,1702665120992,5.3780173E8,134.27834
7,1702665120992,5.3780211E8,135.29346
8,1702665120992,5.3780243E8,133.71211
9,1702665120992,5.3780282E8,135.25822
10,1702665120992,5.3780314E8,135.09618
11,1702665120993,5.3780346E8,134.3172
12,1702665120993,5.3780384E8,135.33595
13,1702665120993,5.3780416E8,133.8455
14,1702665120993,5.3780454E8,133.94005
15,1702665120993,5.3780486E8,135.08595
16,1702665120993,5.3780518E8,134.01778
17,1702665120995,5.3780557E8,134.94432
18,1702665120995,5.3780589E8,133.64362
19,1702665120995,5.3780627E8,134.24869
20,1702665120995,5.3780659E8,133.9733
21,1702665120995,5.3780691E8,133.37022
22,1702665120997,5.378073E8,133.95027
23,1702665120997,5.3780762E8,133.14163
24,1702665120997,5.37808E8,133.04613
25,1702665120997,5.3780832E8,132.04283
26,1702665120997,5.3780864E8,132.3004
27,1702665120998,5.3780902E8,133.54182
28,1702665120998,5.3780934E8,133.48154
29,1702665120998,5.3780966E8,132.69762
30,1702665120999,5.3781005E8,131.10146
31,1702665120999,5.3781037E8,129.88606
32,1702665120999,5.3781075E8,129.64066
33,1702665121001,5.3781107E8,129.8001
34,1702665121001,5.3781139E8,129.6647
35,1702665121001,5.3781178E8,131.01453
36,1702665121001,5.378121E8,130.21773
37,1702665121001,5.3781248E8,130.31589
38,1702665121001,5.378128E8,132.41998
39,1702665121002,5.3781312E8,131.86693
40,1702665121002,5.378135E8,130.18184
41,1702665121002,5.3781382E8,129.31555
42,1702665121003,5.3781421E8,129.07379
43,1702665121003,5.3781453E8,129.9539
44,1702665121003,5.3781485E8,130.18544
45,1702665121003,5.3781523E8,128.83105
46,1702665121004,5.3781555E8,129.63968
47,1702665121004,5.3781594E8,129.7889
48,1702665121004,5.3781626E8,129.82971
49,1702665121005,5.3781658E8,129.97333
50,1702665121005,5.3781696E8,130.71083
51,1702665121005,5.3781728E8,130.62187
52,1702665121007,5.3781766E8,130.57742
53,1702665121007,5.3781798E8,132.47629
54,1702665121007,5.378183E8,131.90744
55,1702665121007,5.3781869E8,134.48749
56,1702665121007,5.3781901E8,132.63374
57,1702665121007,5.3781939E8,134.9934
58,1702665121008,5.3781971E8,133.46838
59,1702665121008,5.3782003E8,132.15942
60,1702665121008,5.3782042E8,134.66435
61,1702665121009,5.3782074E8,133.78261
62,1702665121009,5.3782112E8,134.03358
63,1702665121009,5.3782144E8,134.02339
64,1702665121011,5.3782176E8,134.22891
65,1702665121011,5.3782214E8,134.36726
66,1702665121011,5.3782246E8,134.9025
67,1702665121011,5.3782278E8,134.63107
68,1702665121011,5.3782317E8,135.19432
69,1702665121011,5.3782349E8,133.87976
70,1702665121012,5.3782387E8,133.19334
71,1702665121012,5.3782419E8,135.81223
72,1702665121014,5.3782451E8,135.82607
73,1702665121014,5.378249E8,134.90613
74,1702665121014,5.3782522E8,133.9697
75,1702665121014,5.378256E8,135.1729
76,1702665121014,5.3782592E8,135.37021
77,1702665121014,5.3782624E8,133.08499
78,1702665121016,5.3782662E8,133.04875
79,1702665121016,5.3782694E8,132.99802
80,1702665121016,5.3782733E8,131.51285
81,1702665121016,5.3782765E8,132.3317
82,1702665121016,5.3782797E8,135.7233
83,1702665121016,5.3782835E8,132.97198
84,1702665121018,5.3782867E8,132.0122
85,1702665121018,5.3782906E8,130.86067
86,1702665121018,5.3782938E8,131.80305
87,1702665121018,5.378297E8,131.88902
88,1702665121018,5.3783008E8,130.1502
89,1702665121018,5.378304E8,130.69139
90,1702665121019,5.3783078E8,131.21016
91,1702665121019,5.378311E8,129.77867
92,1702665121019,5.3783142E8,129.9427
93,1702665121020,5.3783181E8,130.29845
94,1702665121020,5.3783213E8,130.80504
95,1702665121020,5.3783251E8,130.21413
96,1702665121022,5.3783283E8,127.94173
97,1702665121022,5.3783315E8,129.38145
98,1702665121022,5.3783354E8,129.12386
99,1702665121022,5.3783386E8,130.2576
100,1702665121022,5.3783424E8,130.18544
101,1702665121024,5.3783456E8,130.0705
102,1702665121024,5.3783488E8,129.20818
103,1702665121024,5.3783526E8,130.6255
104,1702665121024,5.3783558E8,129.84454
105,1702665121024,5.378359E8,130.3363
106,1702665121025,5.3783629E8,130.57446
107,1702665121025,5.3783661E8,129.37486
108,1702665121025,5.3783699E8,129.98157
109,1702665121026,5.3783731E8,130.4819
110,1702665121026,5.3783763E8,131.2388
111,1702665121026,5.3783802E8,130.89395
112,1702665121027,5.3783834E8,129.96214
113,1702665121027,5.3783872E8,130.87749
114,1702665121028,5.3783904E8,132.03362
115,1702665121028,5.3783936E8,131.40646
116,1702665121028,5.3783974E8,132.76549
117,1702665121029,5.3784006E8,131.78886
118,1702665121029,5.3784045E8,132.42624
119,1702665121029,5.3784077E8,132.85902
120,1702665121030,5.3784109E8,134.0059
121,1702665121030,5.3784147E8,133.99112
122,1702665121030,5.3784179E8,134.40152
123,1702665121032,5.3784218E8,134.29675
124,1702665121032,5.378425E8,134.16336
125,1702665121032,5.3784282E8,134.54016
126,1702665121032,5.378432E8,134.18279
127,1702665121032,5.3784352E8,134.43016
128,1702665121032,5.378439E8,133.43709
129,1702665121033,5.3784422E8,133.99274
130,1702665121033,5.3784454E8,134.97397
131,1702665121033,5.3784493E8,135.60738
132,1702665121033,5.3784525E8,135.637
133,1702665121034,5.3784563E8,133.10442
134,1702665121034,5.3784595E8,135.17686
135,1702665121034,5.3784627E8,134.33662
136,1702665121036,5.3784666E8,133.45653
137,1702665121036,5.3784698E8,131.58698
138,1702665121036,5.3784736E8,135.13306
139,1702665121036,5.3784768E8,133.16174
140,1702665121036,5.37848E8,132.32083
141,1702665121036,5.3784838E8,130.97203
142,1702665121038,5.378487E8,131.501
143,1702665121038,5.3784909E8,133.94102
144,1702665121038,5.3784941E8,131.6176
145,1702665121038,5.3784973E8,130.73947
146,1702665121038,5.3785011E8,131.02571
147,1702665121038,5.3785043E8,131.19533
148,1702665121040,5.3785082E8,130.3317
149,1702665121040,5.3785114E8,130.4226
150,1702665121040,5.3785146E8,130.00299
151,1702665121040,5.3785184E8,129.29152
152,1702665121040,5.3785216E8,128.75037
153,1702665121040,5.3785248E8,130.20027
154,1702665121041,5.3785286E8,131.29976
155,1702665121041,5.3785318E8,131.47203
156,1702665121041,5.3785357E8,131.11168
157,1702665121043,5.3785389E8,128.46707
158,1702665121043,5.3785421E8,129.86037
159,1702665121043,5.3785459E8,129.34521
160,1702665121043,5.3785491E8,128.43083
161,1702665121043,5.378553E8,127.38406
162,1702665121045,5.3785562E8,129.29317
163,1702665121045,5.3785594E8,130.02141
164,1702665121045,5.3785632E8,132.22992
165,1702665121045,5.3785664E8,130.54778
166,1702665121045,5.3785702E8,132.83499
167,1702665121046,5.3785734E8,132.47069
168,1702665121046,5.3785766E8,131.66403
169,1702665121046,5.3785805E8,131.1423
170,1702665121047,5.3785837E8,133.14789
171,1702665121047,5.3785875E8,131.13869
172,1702665121047,5.3785907E8,132.9496
173,1702665121049,5.3785939E8,131.26942
174,1702665121049,5.3785978E8,132.98486
175,1702665121049,5.378601E8,132.16403
176,1702665121049,5.3786048E8,134.01613
177,1702665121049,5.378608E8,134.43016
178,1702665121050,5.3786112E8,134.74867
179,1702665121050,5.378615E8,133.84846
180,1702665121050,5.3786182E8,133.49442
181,1702665121052,5.3786221E8,132.95256
182,1702665121052,5.3786253E8,134.57477
183,1702665121052,5.3786285E8,135.42784
184,1702665121052,5.3786323E8,134.28459
185,1702665121052,5.3786355E8,134.35143
186,1702665121052,5.3786394E8,133.74374
187,1702665121053,5.3786426E8,135.22034
188,1702665121053,5.3786458E8,134.81091
189,1702665121053,5.3786496E8,135.52336
190,1702665121053,5.3786528E8,133.98254
191,1702665121054,5.378656E8,135.06091
192,1702665121054,5.3786598E8,132.80074
193,1702665121054,5.378663E8,132.77931
194,1702665121056,5.3786669E8,132.31226
195,1702665121056,5.3786701E8,133.12682
196,1702665121056,5.3786733E8,133.05896
197,1702665121056,5.3786771E8,133.46573
198,1702665121056,5.3786803E8,130.07413
199,1702665121056,5.3786842E8,133.21642
200,1702665121057,5.3786874E8,134.00755
201,1702665121057,5.3786906E8,130.63573
202,1702665121057,5.3786944E8,131.44072
203,1702665121059,5.3786976E8,130.71083
204,1702665121059,5.3787014E8,130.6255
205,1702665121059,5.3787046E8,130.15942
206,1702665121059,5.3787078E8,131.11168
207,1702665121059,5.3787117E8,131.11925
208,1702665121059,5.3787149E8,130.38176
209,1702665121061,5.3787187E8,130.91833
210,1702665121061,5.3787219E8,129.9381
211,1702665121061,5.3787251E8,130.02702
212,1702665121061,5.378729E8,130.0705
213,1702665121062,5.3787322E8,130.11232
214,1702665121062,5.378736E8,129.33698
215,1702665121062,5.3787392E8,129.83698
216,1702665121063,5.3787424E8,130.56982
217,1702665121063,5.3787462E8,129.37123
218,1702665121063,5.3787494E8,130.30667
219,1702665121063,5.3787533E8,129.56656
220,1702665121064,5.3787565E8,129.53526
221,1702665121064,5.3787597E8,129.67032
222,1702665121064,5.3787635E8,129.22464
223,1702665121065,5.3787667E8,131.61497
224,1702665121065,5.3787706E8,130.89954
225,1702665121065,5.3787738E8,130.8709
226,1702665121066,5.378777E8,130.69664
227,1702665121066,5.3787808E8,130.6209
228,1702665121066,5.378784E8,133.3063
229,1702665121068,5.3787878E8,130.17526
230,1702665121068,5.378791E8,133.48978
231,1702665121068,5.3787942E8,134.0059
232,1702665121068,5.3787981E8,133.56125
233,1702665121068,5.3788013E8,131.68051
234,1702665121068,5.3788045E8,132.32806
235,1702665121069,5.3788083E8,134.7747
236,1702665121069,5.3788115E8,133.9114
237,1702665121069,5.3788154E8,133.62682
238,1702665121070,5.3788186E8,133.61134
