Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
0,1702662653235,5094041.0,133.62643
1,1702662653236,5094386.0,134.04514
2,1702662653236,5094732.0,133.3887
3,1702662653236,5095077.0,131.78929
4,1702662653236,5095422.0,130.84155
5,1702662653236,5095768.0,129.65053
6,1702662653236,5096113.0,130.68756
7,1702662653236,5096458.0,130.32602
8,1702662653236,5096804.0,130.73996
9,1702662653236,5097149.0,132.7025
10,1702662653236,5097494.0,130.50897
11,1702662653236,5097839.0,132.13179
12,1702662653238,5098185.0,131.27931
13,1702662653238,5098530.0,131.0892
14,1702662653238,5098875.0,131.09277
15,1702662653238,5099221.0,130.14386
16,1702662653238,5099566.0,130.97015
17,1702662653238,5099911.0,132.84975
18,1702662653240,5100257.0,131.98218
19,1702662653240,5100602.0,131.2813
20,1702662653240,5100947.0,130.12837
21,1702662653240,5101293.0,130.11726
22,1702662653240,5101638.0,132.64536
23,1702662653240,5101983.0,129.5414
24,1702662653241,5102329.0,130.67764
25,1702662653241,5102674.0,129.60132
26,1702662653241,5103019.0,132.38103
27,1702662653242,5103364.0,131.77461
28,1702662653242,5103710.0,131.45671
29,1702662653242,5104055.0,130.39508
30,1702662653242,5104400.0,131.38289
31,1702662653244,5104746.0,133.14978
32,1702662653244,5105091.0,130.77011
33,1702662653244,5105436.0,131.47339
34,1702662653244,5105782.0,132.28697
35,1702662653244,5106127.0,131.32495
36,1702662653244,5106472.0,133.90662
37,1702662653245,5106818.0,131.01141
38,1702662653245,5107163.0,131.59523
39,1702662653245,5107508.0,129.22865
40,1702662653246,5107853.0,132.97675
41,1702662653246,5108199.0,131.40631
42,1702662653246,5108544.0,133.15335
43,1702662653247,5108889.0,131.11739
44,1702662653247,5109235.0,132.78148
45,1702662653247,5109580.0,132.3362
46,1702662653249,5109926.0,131.95003
47,1702662653249,5110271.0,130.45102
48,1702662653249,5110616.0,131.1273
49,1702662653249,5110961.0,132.85966
50,1702662653249,5111307.0,132.20006
51,1702662653251,5111652.0,132.72234
52,1702662653251,5111997.0,131.37495
53,1702662653251,5112343.0,131.44759
54,1702662653251,5112688.0,133.5419
55,1702662653251,5113033.0,134.05862
56,1702662653252,5113379.0,134.67696
57,1702662653252,5113724.0,133.14542
58,1702662653252,5114069.0,132.0294
59,1702662653254,5114415.0,133.09541
60,1702662653254,5114760.0,133.75024
61,1702662653254,5115105.0,130.8872
62,1702662653254,5115451.0,133.04381
63,1702662653254,5115796.0,131.79604
64,1702662653255,5116141.0,132.32628
65,1702662653255,5116486.0,131.27931
66,1702662653255,5116832.0,133.27043
67,1702662653257,5117177.0,134.99167
68,1702662653257,5117522.0,131.8639
69,1702662653257,5117868.0,132.63304
70,1702662653257,5118213.0,132.16197
71,1702662653257,5118558.0,132.2838
72,1702662653257,5118904.0,130.12401
73,1702662653258,5119249.0,131.42973
74,1702662653258,5119594.0,132.05598
75,1702662653258,5119940.0,130.05019
76,1702662653260,5120285.0,129.5144
77,1702662653260,5120630.0,131.88295
78,1702662653260,5120976.0,129.47194
79,1702662653260,5121321.0,131.76707
80,1702662653260,5121666.0,132.76799
81,1702662653260,5122011.0,133.09541
82,1702662653260,5122357.0,132.06711
83,1702662653261,5122702.0,132.52034
84,1702662653261,5123047.0,131.8274
85,1702662653261,5123393.0,132.49376
86,1702662653263,5123738.0,132.51717
87,1702662653263,5124083.0,130.42404
88,1702662653263,5124429.0,132.73703
89,1702662653263,5124774.0,130.99356
90,1702662653263,5125119.0,130.2768
91,1702662653263,5125465.0,128.92822
92,1702662653264,5125810.0,131.69325
93,1702662653264,5126155.0,131.04477
94,1702662653264,5126501.0,130.62169
95,1702662653265,5126846.0,133.52403
96,1702662653265,5127191.0,132.28816
97,1702662653265,5127536.0,132.28499
98,1702662653266,5127882.0,129.47313
99,1702662653266,5128227.0,131.6754
100,1702662653266,5128572.0,131.79048
101,1702662653267,5128918.0,131.07373
102,1702662653267,5129263.0,133.28154
103,1702662653267,5129608.0,132.27586
104,1702662653268,5129954.0,133.57523
105,1702662653268,5130299.0,131.61626
106,1702662653269,5130644.0,134.28723
107,1702662653269,5130990.0,132.73584
108,1702662653269,5131335.0,134.02965
109,1702662653272,5131680.0,132.43541
110,1702662653272,5132026.0,132.40208
111,1702662653272,5132371.0,130.82608
112,1702662653272,5132716.0,132.3596
113,1702662653272,5133061.0,132.2191
114,1702662653272,5133407.0,131.19756
115,1702662653272,5133752.0,131.45988
116,1702662653273,5134097.0,132.7549
117,1702662653273,5134443.0,131.9286
118,1702662653273,5134788.0,131.85835
119,1702662653274,5135133.0,131.42297
120,1702662653274,5135478.0,132.70012
121,1702662653274,5135824.0,129.29216
122,1702662653276,5136169.0,131.4956
123,1702662653276,5136514.0,131.61864
124,1702662653276,5136860.0,131.344
125,1702662653276,5137205.0,133.80621
126,1702662653276,5137550.0,132.70567
127,1702662653276,5137896.0,132.87196
128,1702662653277,5138241.0,131.42297
129,1702662653277,5138586.0,132.1421
130,1702662653277,5138932.0,130.24902
131,1702662653278,5139277.0,129.97557
132,1702662653278,5139622.0,131.59404
133,1702662653278,5139968.0,131.9937
134,1702662653279,5140313.0,130.86736
135,1702662653279,5140658.0,130.24783
136,1702662653279,5141004.0,130.32721
137,1702662653281,5141349.0,130.73798
138,1702662653281,5141694.0,132.28142
139,1702662653281,5142039.0,130.42285
140,1702662653281,5142385.0,131.19637
141,1702662653281,5142730.0,130.89395
142,1702662653282,5143075.0,131.80278
143,1702662653282,5143421.0,131.623
144,1702662653282,5143766.0,133.08629
145,1702662653282,5144111.0,131.59166
146,1702662653282,5144457.0,131.8774
147,1702662653284,5144802.0,131.54799
148,1702662653284,5145147.0,132.70448
149,1702662653284,5145492.0,129.15047
