Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),time (),reading ()
0,1702661974643,4.63066016E8,121.40175
1,1702661974644,4.63066368E8,125.98205
2,1702661974644,4.63066688E8,124.50307
3,1702661974644,4.6306704E8,124.09985
4,1702661974644,4.63067392E8,122.15608
5,1702661974644,4.63067744E8,123.95482
6,1702661974644,4.63068096E8,124.89508
7,1702661974644,4.63068416E8,120.97782
8,1702661974644,4.63068768E8,128.03893
9,1702661974644,4.6306912E8,125.27307
10,1702661974644,4.63069472E8,125.41642
11,1702661974644,4.63069824E8,122.07598
12,1702661974645,4.63070144E8,125.6466
13,1702661974645,4.63070496E8,123.772255
14,1702661974645,4.63070848E8,126.18364
15,1702661974647,4.630712E8,126.52077
16,1702661974647,4.6307152E8,121.5294
17,1702661974647,4.63071872E8,124.72036
18,1702661974647,4.63072224E8,123.03026
19,1702661974647,4.63072576E8,124.58034
20,1702661974648,4.63072928E8,124.58932
21,1702661974648,4.63073248E8,124.88723
22,1702661974648,4.630736E8,123.51688
23,1702661974649,4.63073952E8,123.923454
24,1702661974649,4.63074304E8,123.216156
25,1702661974649,4.63074656E8,124.60217
26,1702661974651,4.63074976E8,126.78173
27,1702661974651,4.63075328E8,124.4717
28,1702661974651,4.6307568E8,125.20698
29,1702661974651,4.63076032E8,122.50607
30,1702661974651,4.63076384E8,124.31547
31,1702661974651,4.63076704E8,124.54842
32,1702661974652,4.63077056E8,126.21836
33,1702661974652,4.63077408E8,123.85065
34,1702661974652,4.6307776E8,125.38002
35,1702661974654,4.6307808E8,126.21949
36,1702661974654,4.63078432E8,126.311325
37,1702661974654,4.63078784E8,124.38769
38,1702661974654,4.63079136E8,123.210014
39,1702661974654,4.63079488E8,122.06816
40,1702661974654,4.63079808E8,121.67111
41,1702661974655,4.6308016E8,122.83984
42,1702661974655,4.63080512E8,124.77692
43,1702661974655,4.63080864E8,124.74555
44,1702661974656,4.63081216E8,123.253685
45,1702661974656,4.63081536E8,121.57647
46,1702661974656,4.63081888E8,122.67743
47,1702661974657,4.6308224E8,122.73399
48,1702661974657,4.63082592E8,122.14039
49,1702661974657,4.63082944E8,124.019226
50,1702661974658,4.63083264E8,121.633026
51,1702661974658,4.63083616E8,121.47117
52,1702661974658,4.63083968E8,123.4777
53,1702661974660,4.6308432E8,122.865036
54,1702661974660,4.63084672E8,121.52327
