force_x,force_y,force_z,sensor_x,sensor_y,sensor_z,corrected_x,corrected_y,corrected_z,,,orientation,load on x,load on y,load on z,reading on x,reading on y,reading on z,compensate for orientation x,y,z
0,0,0,684540,-677980,-869500,823820,-674840,-662960,,,z up,0,0,0,823820,-674840,-662960,,,
151,0,0,431500,-683580,-863860,570780,-680440,-657320,,,sideways align to x,0,0,0,684540,-677980,-869500,139280,3140,206540
287,0,0,203800,-688900,-860820,343080,-685760,-654280,,,sideways align to y,0,0,0,822600,-592920,-875450,1220,-81920,212490
589,0,0,-301780,-700740,-850230,-162500,-697600,-643690,,,z down,0,0,0,824820,-677660,-1084150,-1000,2820,421190
872.1,0,0,-775650,-712400,-844100,-636370,-709260,-637560,,,,,,,,,,,,
0,0,0,822600,-592920,-875450,823820,-674840,-662960,,,,,,,,,,,,
0,151,0,817060,-387900,-877480,818280,-469820,-664990,,,,,,,,,,,,
0,287,0,812180,-110680,-879680,813400,-192600,-667190,,,,,,,,,,,,
0,589,0,801330,398500,-884430,802550,316580,-671940,,,,,,,,,,,,
0,872.1,0,791150,875740,-886780,792370,793820,-674290,,,,,,,,,,,,
0,0,0,824820,-677660,-1084150,823820,-674840,-662960,,,,,,,,,,,,
0,0,151,822700,-682700,-1347060,821700,-679880,-925870,,,,,,,,,,,,
0,0,287,818600,-686700,-1583040,817600,-683880,-1161850,,,,,,,,,,,,
0,0,589,813150,-696050,-2108860,812150,-693230,-1687670,,,,,,,,,,,,
0,0,872.1,802500,-705400,-2601220,801500,-702580,-2180030,,,,,,,,,,,,
