Time,Channel A
(ms),(V)

-500.00848132,4.27304900
-499.99848132,4.29990500
-499.98848132,4.27076000
-499.97848132,4.28464600
-499.96848132,4.28388300
-499.95848132,4.29197100
-499.94848132,4.28678200
-499.93848132,4.27304900
-499.92848132,4.27671100
-499.91848132,4.29044500
-499.90848132,4.30723000
-499.89848133,4.29487000
-499.88848133,4.27961100
-499.87848133,4.28754500
-499.86848133,4.27808500
-499.85848133,4.30066800
-499.84848133,4.28601900
-499.83848133,4.28251000
-499.82848133,4.28540900
-499.81848133,4.29837900
-499.80848133,4.28830800
-499.79848133,4.31012900
-499.78848133,4.29120800
-499.77848133,4.30066800
-499.76848133,4.28891800
-499.75848133,4.30066800
-499.74848133,4.28891800
-499.73848133,4.30127900
-499.72848133,4.29914200
-499.71848133,4.30127900
-499.70848133,4.27518600
-499.69848133,4.28022100
-499.68848133,4.28098400
-499.67848133,4.28540900
-499.66848133,4.30204200
-499.65848133,4.30936600
-499.64848133,4.29624300
-499.63848133,4.28891800
-499.62848133,4.29410700
-499.61848133,4.30494100
-499.60848133,4.29700600
-499.59848133,4.28174700
-499.58848133,4.28312000
-499.57848133,4.29044500
-499.56848133,4.29410700
-499.55848133,4.29776900
-499.54848133,4.27961100
-499.53848133,4.28388300
-499.52848133,4.28098400
-499.51848133,4.30204200
-499.50848133,4.29776900
-499.49848134,4.30494100
-499.48848134,4.30417800
-499.47848134,4.29410700
-499.46848134,4.31226500
-499.45848134,4.31882700
-499.44848134,4.30417800
-499.43848134,4.28968200
-499.42848134,4.28464600
-499.41848134,4.29700600
-499.40848134,4.30280400
-499.39848134,4.28540900
-499.38848134,4.29334400
-499.37848134,4.29120800
-499.36848134,4.30646700
-499.35848134,4.29258100
-499.34848134,4.29700600
-499.33848134,4.29197100
-499.32848134,4.28540900
-499.31848134,4.26358800
-499.30848134,4.29837900
-499.29848134,4.29990500
-499.28848134,4.29624300
-499.27848134,4.30570400
-499.26848134,4.28968200
-499.25848134,4.32248900
-499.24848134,4.30066800
-499.23848134,4.28891800
-499.22848134,4.28388300
-499.21848134,4.28174700
-499.20848134,4.31074000
-499.19848134,4.28098400
-499.18848134,4.29258100
-499.17848134,4.29837900
-499.16848134,4.28098400
-499.15848134,4.29258100
-499.14848134,4.30066800
-499.13848134,4.28754500
-499.12848134,4.29548000
-499.11848134,4.29258100
-499.10848134,4.29990500
-499.09848135,4.29410700
-499.08848135,4.30417800
-499.07848135,4.29700600
-499.06848135,4.29410700
-499.05848135,4.29837900
-499.04848135,4.28098400
-499.03848135,4.32828800
-499.02848135,4.28388300
-499.01848135,4.26435100
-499.00848135,4.27671100
-498.99848135,4.28754500
-498.98848135,4.28830800
-498.97848135,4.30646700
-498.96848135,4.29700600
-498.95848135,4.26648800
-498.94848135,4.28174700
-498.93848135,4.27671100
-498.92848135,4.29258100
-498.91848135,4.29197100
-498.90848135,4.30570400
-498.89848135,4.30494100
-498.88848135,4.30723000
-498.87848135,4.30784000
-498.86848135,4.30936600
-498.85848135,4.27884800
-498.84848135,4.29258100
-498.83848135,4.30646700
