Time,Channel A
(ms),(V)

-500.00970430,4.29548000
-499.99970430,4.29487000
-499.98970430,4.29334400
-499.97970430,4.30356700
-499.96970430,4.26648800
-499.95970430,4.38200000
-499.94970430,4.27671100
-499.93970430,4.29334400
-499.92970430,4.28540900
-499.91970430,4.29258100
-499.90970430,4.31653800
-499.89970430,4.28678200
-499.88970431,4.29334400
-499.87970431,4.29410700
-499.86970431,4.28312000
-499.85970431,4.30417800
-499.84970431,4.31226500
-499.83970431,4.28891800
-499.82970431,4.29044500
-499.81970431,4.27152300
-499.80970431,4.27518600
-499.79970431,4.29700600
-499.78970431,4.29334400
-499.77970431,4.29120800
-499.76970431,4.29197100
-499.75970431,4.29258100
-499.74970431,4.38566300
-499.73970431,4.28830800
-499.72970431,4.29487000
-499.71970431,4.28388300
-499.70970431,4.28830800
-499.69970431,4.29914200
-499.68970431,4.28968200
-499.67970431,4.29197100
-499.66970431,4.28022100
-499.65970431,4.28098400
-499.64970431,4.29990500
-499.63970431,4.28388300
-499.62970431,4.29258100
-499.61970431,4.28754500
-499.60970431,4.30570400
-499.59970431,4.29334400
-499.58970431,4.27518600
-499.57970431,4.28174700
-499.56970431,4.28098400
-499.55970431,4.29258100
-499.54970431,4.30570400
-499.53970431,4.29044500
-499.52970431,4.28678200
-499.51970431,4.29624300
-499.50970431,4.28968200
-499.49970431,4.28312000
-499.48970432,4.29548000
-499.47970432,4.29334400
-499.46970432,4.30570400
-499.45970432,4.30066800
-499.44970432,4.32020000
-499.43970432,4.30356700
-499.42970432,4.29258100
-499.41970432,4.26282500
-499.40970432,4.29334400
-499.39970432,4.28754500
-499.38970432,4.27594900
-499.37970432,4.27732200
-499.36970432,4.28388300
-499.35970432,4.29120800
-499.34970432,4.28251000
-499.33970432,4.29837900
-499.32970432,4.29548000
-499.31970432,4.26725100
-499.30970432,4.27304900
-499.29970432,4.29044500
-499.28970432,4.28388300
-499.27970432,4.29044500
-499.26970432,4.29776900
-499.25970432,4.29044500
-499.24970432,4.28174700
-499.23970432,4.29776900
-499.22970432,4.28022100
-499.21970432,4.30356700
-499.20970432,4.31302800
-499.19970432,4.28174700
-499.18970432,4.28830800
-499.17970432,4.27228600
-499.16970432,4.31226500
-499.15970432,4.26358800
-499.14970432,4.30646700
-499.13970432,4.28464600
-499.12970432,4.28540900
-499.11970432,4.28678200
-499.10970432,4.29120800
-499.09970432,4.30280400
-499.08970433,4.28312000
-499.07970433,4.27518600
-499.06970433,4.29914200
-499.05970433,4.30860300
-499.04970433,4.27366000
-499.03970433,4.29487000
-499.02970433,4.28968200
-499.01970433,4.27961100
-499.00970433,4.31516500
-498.99970433,4.28968200
-498.98970433,4.26648800
-498.97970433,4.28174700
-498.96970433,4.28678200
-498.95970433,4.30494100
-498.94970433,4.36094200
-498.93970433,4.27808500
-498.92970433,4.29776900
-498.91970433,4.27518600
-498.90970433,4.27884800
-498.89970433,4.30417800
-498.88970433,4.30860300
-498.87970433,4.28754500
-498.86970433,4.30936600
-498.85970433,4.28968200
-498.84970433,4.24680300
-498.83970433,4.28891800
