Time,Channel A
(ms),(V)

-500.01996756,3.29401500
-500.00996756,3.30713800
-499.99996756,3.29340500
-499.98996756,3.29233700
-499.97996756,3.30332400
-499.96996756,3.30134000
-499.95996756,3.28653800
-499.94996756,3.29615200
-499.93996756,3.29233700
-499.92996756,3.30683300
-499.91996756,3.30408600
-499.90996756,3.30072900
-499.89996756,3.30698600
-499.88996756,3.29493100
-499.87996756,3.29004800
-499.86996756,3.29981400
-499.85996756,3.29630400
-499.84996756,3.29905100
-499.83996756,3.30072900
-499.82996756,3.29706700
-499.81996756,3.30286600
-499.80996756,3.30469700
-499.79996756,3.30011900
-499.78996756,3.29004800
-499.77996756,3.29035300
-499.76996756,3.27204200
-499.75996756,3.28821700
-499.74996756,3.28882700
-499.73996756,3.30881700
-499.72996756,3.29584600
-499.71996756,3.29416800
-499.70996756,3.30332400
-499.69996756,3.29874600
-499.68996756,3.29722000
-499.67996756,3.29432100
-499.66996756,3.28257100
-499.65996757,3.29172600
-499.64996757,3.30195000
-499.63996757,3.28760600
-499.62996757,3.29264200
-499.61996757,3.28959000
-499.60996757,3.29584600
-499.59996757,3.28928500
-499.58996757,3.28592800
-499.57996757,3.29645700
-499.56996757,3.30134000
-499.55996757,3.29462600
-499.54996757,3.28577500
-499.53996757,3.28486000
-499.52996757,3.29905100
-499.51996757,3.30011900
-499.50996757,3.29737200
-499.49996757,3.28257100
-499.48996757,3.28379200
-499.47996757,3.30378100
-499.46996757,3.29264200
-499.45996757,3.29248900
-499.44996757,3.29050600
-499.43996757,3.28089200
-499.42996757,3.29630400
-499.41996757,3.29660900
-499.40996757,3.30256100
-499.39996757,3.28913200
-499.38996757,3.28974300
-499.37996757,3.29294700
-499.36996757,3.29447300
-499.35996757,3.28852200
-499.34996757,3.30042400
-499.33996757,3.28760600
-499.32996757,3.29294700
-499.31996757,3.29691500
-499.30996757,3.30301800
-499.29996757,3.30225500
-499.28996757,3.29584600
-499.27996757,3.29081100
-499.26996757,3.28348600
-499.25996758,3.29371000
-499.24996758,3.29401500
-499.23996758,3.28943800
-499.22996758,3.29874600
-499.21996758,3.29722000
-499.20996758,3.28089200
-499.19996758,3.29752500
-499.18996758,3.29111600
-499.17996758,3.30225500
-499.16996758,3.29523600
-499.15996758,3.28867500
-499.14996758,3.29050600
-499.13996758,3.30378100
-499.12996758,3.30179800
-499.11996758,3.30088200
-499.10996758,3.29325200
-499.09996758,3.30301800
-499.08996758,3.27280500
-499.07996758,3.29126900
-499.06996758,3.29294700
-499.05996758,3.28867500
-499.04996758,3.28455400
-499.03996758,3.30042400
-499.02996758,3.29355800
-499.01996758,3.28257100
-499.00996758,3.28119800
-498.99996758,3.30973200
-498.98996758,3.31324200
-498.97996758,3.30637500
-498.96996758,3.28730100
-498.95996758,3.29325200
-498.94996758,3.29508400
-498.93996758,3.29432100
-498.92996758,3.28272300
-498.91996758,3.30195000
-498.90996758,3.29233700
-498.89996758,3.29889800
-498.88996758,3.29416800
-498.87996758,3.29065800
-498.86996759,3.28333400
-498.85996759,3.30591800
-498.84996759,3.30118700
