Time,Channel A
(ms),(V)

-500.00870676,3.28241800
-499.99870676,3.30988500
-499.98870676,3.27951900
-499.97870676,3.28455400
-499.96870676,3.28821700
-499.95870676,3.29035300
-499.94870676,3.26929500
-499.93870676,3.27295800
-499.92870676,3.28821700
-499.91870676,3.27295800
-499.90870676,3.27005800
-499.89870676,3.28302900
-499.88870677,3.30195000
-499.87870677,3.28165500
-499.86870677,3.26929500
-499.85870677,3.27219500
-499.84870677,3.29035300
-499.83870677,3.27723000
-499.82870677,3.28882700
-499.81870677,3.28241800
-499.80870677,3.27799300
-499.79870677,3.28379200
-499.78870677,3.35566300
-499.77870677,3.28531800
-499.76870677,3.28455400
-499.75870677,3.28882700
-499.74870677,3.27585700
-499.73870677,3.27295800
-499.72870677,3.27662000
-499.71870677,3.29401500
-499.70870677,3.27951900
-499.69870677,3.27723000
-499.68870677,3.29905100
-499.67870677,3.27143200
-499.66870677,3.28089200
-499.65870677,3.26715900
-499.64870677,3.28959000
-499.63870677,3.28455400
-499.62870677,3.28089200
-499.61870677,3.30927500
-499.60870677,3.27295800
-499.59870677,3.29035300
-499.58870677,3.28302900
-499.57870677,3.28302900
-499.56870677,3.28669100
-499.55870677,3.28379200
-499.54870677,3.27799300
-499.53870677,3.27951900
-499.52870677,3.29248900
-499.51870677,3.31064800
-499.50870677,3.29111600
-499.49870678,3.29111600
-499.48870678,3.26426000
-499.47870678,3.26639600
-499.46870678,3.25693500
-499.45870678,3.29187900
-499.44870678,3.26059700
-499.43870678,3.29905100
-499.42870678,3.28592800
-499.41870678,3.28241800
-499.40870678,3.26853200
-499.39870678,3.28165500
-499.38870678,3.28821700
-499.37870678,3.29767800
-499.36870678,3.29981400
-499.35870678,3.29325200
-499.34870678,3.27875600
-499.33870678,3.26639600
-499.32870678,3.27143200
-499.31870678,3.28821700
-499.30870678,3.27433100
-499.29870678,3.27875600
-499.28870678,3.27951900
-499.27870678,3.27723000
-499.26870678,3.29187900
-499.25870678,3.27951900
-499.24870678,3.27585700
-499.23870678,3.27005800
-499.22870678,3.26792200
-499.21870678,3.29035300
-499.20870678,3.27005800
-499.19870678,3.28089200
-499.18870678,3.25983500
-499.17870678,3.30484900
-499.16870678,3.27875600
-499.15870678,3.29111600
-499.14870678,3.29401500
-499.13870678,3.26853200
-499.12870678,3.28165500
-499.11870678,3.26715900
-499.10870678,3.29477800
-499.09870679,3.27005800
-499.08870679,3.29035300
-499.07870679,3.28669100
-499.06870679,3.28592800
-499.05870679,3.28669100
-499.04870679,3.29248900
-499.03870679,3.28745400
-499.02870679,3.29248900
-499.01870679,3.27799300
-499.00870679,3.26487000
-498.99870679,3.28241800
-498.98870679,3.29691500
-498.97870679,3.28089200
-498.96870679,3.27951900
-498.95870679,3.28089200
-498.94870679,3.27433100
-498.93870679,3.28669100
-498.92870679,3.29538900
-498.91870679,3.28012900
-498.90870679,3.26929500
-498.89870679,3.26349700
-498.88870679,3.32880600
-498.87870679,3.28012900
-498.86870679,3.27433100
-498.85870679,3.27143200
-498.84870679,3.25479900
-498.83870679,3.28455400
