Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Fx (),Fy (),Fz (),Mx (),My (),Mz ()
0,1711747253438,-13.0,29.0,6.0,-33.0,-23.0,0.0
1,1711747253445,-12.0,28.0,7.0,-33.0,-23.0,1.0
2,1711747253454,-14.0,28.0,7.0,-33.0,-22.0,0.0
3,1711747253465,-13.0,29.0,7.0,-33.0,-23.0,-1.0
4,1711747253474,-13.0,28.0,7.0,-33.0,-23.0,0.0
5,1711747253485,-12.0,28.0,7.0,-32.0,-23.0,1.0
6,1711747253494,-13.0,28.0,8.0,-32.0,-23.0,0.0
7,1711747253505,-13.0,28.0,7.0,-32.0,-23.0,0.0
8,1711747253515,-13.0,29.0,7.0,-34.0,-23.0,-1.0
9,1711747253525,-13.0,28.0,7.0,-33.0,-23.0,0.0
10,1711747253534,-13.0,28.0,7.0,-33.0,-24.0,0.0
11,1711747253544,-13.0,29.0,7.0,-33.0,-23.0,1.0
12,1711747253554,-14.0,29.0,7.0,-34.0,-23.0,1.0
13,1711747253564,-13.0,29.0,7.0,-33.0,-23.0,0.0
14,1711747253574,-13.0,28.0,7.0,-33.0,-23.0,1.0
15,1711747253584,-13.0,28.0,6.0,-33.0,-22.0,0.0
16,1711747253595,-14.0,29.0,7.0,-33.0,-23.0,0.0
17,1711747253604,-13.0,29.0,7.0,-32.0,-23.0,0.0
18,1711747253614,-14.0,29.0,7.0,-34.0,-22.0,1.0
19,1711747253624,-13.0,29.0,7.0,-32.0,-22.0,1.0
20,1711747253635,-13.0,29.0,7.0,-32.0,-23.0,1.0
21,1711747253644,-14.0,29.0,6.0,-33.0,-23.0,0.0
22,1711747253654,-14.0,30.0,6.0,-33.0,-23.0,-1.0
23,1711747253664,-14.0,30.0,7.0,-33.0,-23.0,1.0
24,1711747253674,-12.0,28.0,7.0,-32.0,-22.0,2.0
25,1711747253684,-12.0,28.0,7.0,-32.0,-22.0,1.0
26,1711747253695,-13.0,29.0,6.0,-33.0,-23.0,0.0
27,1711747253704,-14.0,30.0,6.0,-33.0,-23.0,0.0
28,1711747253714,-14.0,29.0,7.0,-33.0,-22.0,0.0
29,1711747253725,-14.0,30.0,6.0,-31.0,-22.0,1.0
30,1711747253736,-14.0,29.0,7.0,-32.0,-23.0,1.0
31,1711747253745,-13.0,29.0,6.0,-32.0,-23.0,1.0
32,1711747253754,-13.0,29.0,7.0,-33.0,-23.0,0.0
33,1711747253765,-13.0,30.0,6.0,-32.0,-23.0,1.0
34,1711747253775,-13.0,30.0,6.0,-32.0,-22.0,1.0
35,1711747253785,-14.0,29.0,6.0,-33.0,-22.0,1.0
36,1711747253795,-13.0,29.0,7.0,-32.0,-23.0,1.0
37,1711747253806,-13.0,29.0,6.0,-32.0,-23.0,0.0
38,1711747253815,-13.0,29.0,7.0,-33.0,-23.0,0.0
39,1711747253825,-13.0,30.0,6.0,-33.0,-22.0,0.0
40,1711747253834,-13.0,30.0,8.0,-32.0,-22.0,1.0
41,1711747253844,-13.0,28.0,7.0,-33.0,-22.0,0.0
42,1711747253855,-13.0,28.0,8.0,-33.0,-23.0,0.0
43,1711747253865,-13.0,29.0,6.0,-33.0,-24.0,0.0
44,1711747253875,-13.0,28.0,7.0,-32.0,-22.0,0.0
45,1711747253884,-13.0,29.0,7.0,-32.0,-23.0,1.0
46,1711747253894,-14.0,29.0,7.0,-32.0,-23.0,0.0
47,1711747253905,-13.0,28.0,7.0,-33.0,-22.0,0.0
48,1711747253915,-14.0,29.0,8.0,-33.0,-22.0,1.0
49,1711747253925,-14.0,29.0,7.0,-32.0,-23.0,1.0
50,1711747253934,-14.0,30.0,6.0,-33.0,-22.0,0.0
51,1711747253945,-15.0,32.0,5.0,-32.0,-23.0,0.0
52,1711747253956,-15.0,31.0,6.0,-32.0,-22.0,0.0
53,1711747253966,-13.0,28.0,7.0,-31.0,-21.0,2.0
54,1711747253976,-12.0,27.0,9.0,-31.0,-22.0,2.0
55,1711747253986,-14.0,30.0,6.0,-32.0,-23.0,0.0
56,1711747253994,-14.0,30.0,5.0,-33.0,-23.0,-1.0
57,1711747254004,-14.0,31.0,6.0,-33.0,-22.0,0.0
58,1711747254014,-13.0,28.0,8.0,-32.0,-22.0,1.0
59,1711747254024,-12.0,29.0,8.0,-32.0,-22.0,1.0
60,1711747254034,-13.0,29.0,7.0,-33.0,-22.0,0.0
61,1711747254044,-13.0,29.0,7.0,-31.0,-23.0,1.0
62,1711747254054,-14.0,29.0,6.0,-33.0,-23.0,1.0
63,1711747254064,-14.0,30.0,5.0,-33.0,-23.0,0.0
64,1711747254074,-13.0,29.0,7.0,-32.0,-23.0,0.0
65,1711747254084,-11.0,27.0,9.0,-32.0,-22.0,1.0
66,1711747254095,-12.0,27.0,9.0,-32.0,-23.0,1.0
67,1711747254104,-14.0,30.0,6.0,-33.0,-22.0,1.0
68,1711747254114,-14.0,31.0,6.0,-33.0,-22.0,0.0
69,1711747254124,-14.0,30.0,6.0,-31.0,-22.0,0.0
70,1711747254134,-13.0,28.0,8.0,-32.0,-23.0,1.0
71,1711747254144,-12.0,28.0,7.0,-33.0,-22.0,1.0
72,1711747254154,-12.0,28.0,7.0,-33.0,-24.0,0.0
73,1711747254164,-13.0,29.0,6.0,-33.0,-24.0,0.0
74,1711747254174,-13.0,30.0,6.0,-31.0,-22.0,1.0
75,1711747254184,-14.0,30.0,6.0,-33.0,-22.0,1.0
76,1711747254194,-13.0,28.0,7.0,-33.0,-22.0,1.0
77,1711747254204,-12.0,29.0,7.0,-33.0,-23.0,1.0
78,1711747254214,-14.0,29.0,8.0,-32.0,-22.0,1.0
79,1711747254225,-13.0,28.0,6.0,-31.0,-22.0,1.0
80,1711747254235,-14.0,30.0,6.0,-32.0,-23.0,0.0
81,1711747254245,-14.0,31.0,6.0,-32.0,-22.0,0.0
82,1711747254254,-14.0,29.0,6.0,-33.0,-23.0,0.0
83,1711747254264,-12.0,29.0,8.0,-32.0,-22.0,2.0
84,1711747254274,-12.0,29.0,7.0,-32.0,-22.0,2.0
85,1711747254284,-14.0,30.0,6.0,-32.0,-22.0,0.0
86,1711747254294,-14.0,30.0,6.0,-32.0,-23.0,-1.0
87,1711747254304,-13.0,30.0,6.0,-32.0,-24.0,0.0
88,1711747254314,-13.0,28.0,7.0,-32.0,-22.0,1.0
89,1711747254324,-13.0,29.0,7.0,-33.0,-22.0,1.0
90,1711747254335,-14.0,30.0,7.0,-32.0,-22.0,0.0
91,1711747254346,-14.0,30.0,5.0,-32.0,-23.0,0.0
92,1711747254356,-14.0,29.0,7.0,-32.0,-23.0,0.0
93,1711747254364,-14.0,30.0,6.0,-32.0,-23.0,0.0
94,1711747254374,-13.0,28.0,8.0,-33.0,-22.0,1.0
95,1711747254385,-12.0,28.0,8.0,-32.0,-23.0,0.0
96,1711747254394,-13.0,29.0,7.0,-32.0,-23.0,1.0
97,1711747254404,-14.0,29.0,6.0,-32.0,-22.0,0.0
98,1711747254414,-14.0,30.0,6.0,-32.0,-22.0,1.0
99,1711747254424,-13.0,28.0,7.0,-31.0,-23.0,-1.0
100,1711747254435,-13.0,28.0,7.0,-32.0,-23.0,1.0
101,1711747254445,-13.0,29.0,6.0,-33.0,-22.0,0.0
102,1711747254455,-14.0,29.0,7.0,-32.0,-23.0,0.0
103,1711747254465,-14.0,29.0,6.0,-32.0,-23.0,0.0
104,1711747254475,-13.0,29.0,7.0,-32.0,-23.0,1.0
105,1711747254484,-13.0,30.0,6.0,-32.0,-23.0,1.0
106,1711747254495,-12.0,29.0,7.0,-33.0,-23.0,0.0
107,1711747254504,-13.0,29.0,6.0,-33.0,-23.0,-1.0
108,1711747254514,-14.0,29.0,6.0,-33.0,-23.0,1.0
109,1711747254524,-13.0,30.0,7.0,-31.0,-23.0,0.0
110,1711747254536,-13.0,29.0,7.0,-32.0,-23.0,0.0
111,1711747254545,-13.0,29.0,7.0,-33.0,-23.0,1.0
112,1711747254555,-14.0,29.0,6.0,-33.0,-23.0,0.0
113,1711747254565,-13.0,29.0,6.0,-32.0,-23.0,0.0
114,1711747254576,-14.0,29.0,7.0,-32.0,-22.0,1.0
115,1711747254586,-14.0,29.0,6.0,-32.0,-22.0,1.0
116,1711747254594,-14.0,30.0,7.0,-33.0,-23.0,0.0
117,1711747254604,-13.0,29.0,6.0,-33.0,-23.0,0.0
118,1711747254614,-13.0,28.0,7.0,-31.0,-23.0,1.0
119,1711747254624,-13.0,29.0,6.0,-32.0,-23.0,1.0
120,1711747254635,-13.0,29.0,6.0,-33.0,-23.0,1.0
121,1711747254644,-14.0,29.0,6.0,-32.0,-23.0,0.0
122,1711747254655,-13.0,29.0,7.0,-33.0,-23.0,0.0
123,1711747254664,-13.0,29.0,7.0,-33.0,-23.0,1.0
124,1711747254675,-13.0,29.0,7.0,-32.0,-23.0,0.0
125,1711747254685,-14.0,29.0,6.0,-32.0,-22.0,0.0
126,1711747254694,-14.0,29.0,7.0,-33.0,-23.0,0.0
127,1711747254705,-13.0,28.0,6.0,-33.0,-23.0,0.0
128,1711747254715,-13.0,28.0,8.0,-33.0,-22.0,1.0
129,1711747254724,-13.0,29.0,7.0,-32.0,-24.0,0.0
130,1711747254734,-14.0,29.0,7.0,-33.0,-23.0,0.0
131,1711747254744,-13.0,29.0,6.0,-32.0,-23.0,0.0
132,1711747254755,-13.0,28.0,8.0,-33.0,-22.0,1.0
133,1711747254764,-12.0,28.0,7.0,-33.0,-23.0,1.0
134,1711747254774,-13.0,28.0,7.0,-32.0,-23.0,-1.0
135,1711747254785,-13.0,30.0,7.0,-33.0,-23.0,0.0
136,1711747254794,-13.0,30.0,7.0,-32.0,-23.0,0.0
137,1711747254805,-14.0,29.0,7.0,-32.0,-22.0,0.0
138,1711747254815,-13.0,28.0,7.0,-33.0,-23.0,0.0
139,1711747254826,-12.0,29.0,7.0,-32.0,-23.0,0.0
140,1711747254834,-14.0,29.0,6.0,-33.0,-23.0,0.0
141,1711747254844,-13.0,29.0,7.0,-32.0,-23.0,1.0
142,1711747254854,-13.0,29.0,7.0,-33.0,-22.0,1.0
143,1711747254865,-13.0,29.0,7.0,-32.0,-23.0,1.0
144,1711747254874,-13.0,29.0,7.0,-33.0,-23.0,-1.0
145,1711747254884,-13.0,29.0,7.0,-33.0,-24.0,0.0
146,1711747254895,-13.0,29.0,7.0,-33.0,-22.0,1.0
147,1711747254904,-13.0,29.0,6.0,-33.0,-23.0,0.0
148,1711747254915,-13.0,29.0,7.0,-32.0,-22.0,0.0
149,1711747254924,-13.0,30.0,6.0,-33.0,-22.0,0.0
150,1711747254935,-13.0,29.0,7.0,-33.0,-23.0,1.0
151,1711747254944,-13.0,29.0,6.0,-32.0,-22.0,0.0
152,1711747254955,-13.0,29.0,8.0,-32.0,-23.0,2.0
153,1711747254966,-13.0,30.0,7.0,-32.0,-23.0,1.0
154,1711747254974,-13.0,29.0,6.0,-33.0,-23.0,1.0
155,1711747254984,-13.0,29.0,6.0,-32.0,-23.0,1.0
156,1711747254995,-13.0,28.0,7.0,-33.0,-23.0,0.0
157,1711747255005,-13.0,29.0,7.0,-32.0,-22.0,1.0
158,1711747255014,-13.0,28.0,7.0,-32.0,-22.0,1.0
159,1711747255025,-13.0,30.0,6.0,-32.0,-22.0,0.0
160,1711747255034,-13.0,29.0,7.0,-32.0,-23.0,0.0
161,1711747255044,-13.0,29.0,7.0,-32.0,-23.0,0.0
162,1711747255054,-13.0,29.0,7.0,-32.0,-23.0,0.0
163,1711747255064,-13.0,29.0,6.0,-32.0,-22.0,-1.0
164,1711747255074,-13.0,29.0,7.0,-33.0,-22.0,0.0
165,1711747255085,-13.0,29.0,6.0,-32.0,-22.0,1.0
166,1711747255095,-13.0,29.0,7.0,-32.0,-22.0,0.0
167,1711747255105,-14.0,30.0,6.0,-32.0,-22.0,1.0
168,1711747255115,-14.0,29.0,7.0,-32.0,-23.0,1.0
169,1711747255124,-13.0,30.0,7.0,-32.0,-22.0,0.0
170,1711747255134,-13.0,29.0,7.0,-32.0,-22.0,0.0
171,1711747255145,-13.0,29.0,7.0,-32.0,-22.0,1.0
172,1711747255154,-13.0,29.0,7.0,-33.0,-23.0,0.0
173,1711747255164,-14.0,29.0,6.0,-32.0,-23.0,0.0
174,1711747255174,-13.0,29.0,8.0,-33.0,-22.0,1.0
175,1711747255184,-13.0,29.0,6.0,-33.0,-22.0,0.0
176,1711747255195,-13.0,29.0,7.0,-33.0,-23.0,1.0
177,1711747255204,-14.0,30.0,6.0,-33.0,-22.0,-1.0
178,1711747255214,-13.0,30.0,7.0,-33.0,-22.0,0.0
179,1711747255224,-13.0,29.0,6.0,-31.0,-23.0,0.0
180,1711747255234,-14.0,30.0,7.0,-32.0,-22.0,0.0
181,1711747255244,-13.0,29.0,6.0,-33.0,-22.0,0.0
182,1711747255254,-14.0,29.0,7.0,-33.0,-23.0,1.0
183,1711747255264,-14.0,29.0,6.0,-33.0,-23.0,0.0
184,1711747255274,-13.0,29.0,7.0,-33.0,-23.0,1.0
185,1711747255285,-12.0,29.0,7.0,-32.0,-22.0,1.0
186,1711747255294,-14.0,29.0,7.0,-32.0,-23.0,1.0
187,1711747255304,-14.0,30.0,6.0,-33.0,-23.0,-1.0
188,1711747255315,-13.0,29.0,7.0,-32.0,-23.0,0.0
189,1711747255324,-13.0,30.0,7.0,-32.0,-22.0,1.0
190,1711747255334,-13.0,29.0,7.0,-32.0,-23.0,1.0
