Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),0.x (),0.y (),0.z (),1.x (),1.y (),1.z (),2.x (),2.y (),2.z (),3.x (),3.y (),3.z (),q.0.0 (),q.0.1 (),q.0.2 (),q.0.3 (),q.1.0 (),q.1.1 (),q.1.2 (),q.1.3 (),q.2.0 (),q.2.1 (),q.2.2 (),q.2.3 (),q.3.0 (),q.3.1 (),q.3.2 (),q.3.3 ()
0,1711734279052,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1711734279054,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1711734279073,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,1711734279093,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,1711734279112,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1711734279132,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,1711734279152,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1711734279172,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1711734279193,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,1711734279212,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1711734279232,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1711734279252,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
