"Reference","Footprint","Field6","MANUFACTURER","P_Footprint","P_Voltage","P_footprint","P_tolerance","STANDARD","Sim.Device","Sim.Pins","Qty"
"C2, C3","footprints:TAJB_AVX-M","","","","","","","","","","2"
"C4","footprints:CAPC340180_180N_KEM-M","","","","","","","","","","1"
"C5","footprints:CAPC340180_180N_KEM-M","","","","","","","","","","1"
"C6","footprints:CAPC340180_180N_KEM-M","","","","","","","","","","1"
"C7-C9","footprints:CAPC340180_180N_KEM-M","","","","","","","","","","3"
"C10-C48","footprints:CAPC340180_180N_KEM-M","","","-- mixed values --","-- mixed values --","","","","","","39"
"D1","Diode_SMD:D_SMA","","","","","","","","D","1=K 2=A","1"
"D2","LED_SMD:LED_1206_3216Metric","","","","","","","","","","1"
"J1","footprints_0:CUI_PJ-002A","","CUI INC","","","","","Manufacturer recommendations","","","1"
"J2-J13","Connector:FanPinHeader_1x04_P2.54mm_Vertical","","","","","","","","","","12"
"J15","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical","","","","","","","","","","1"
"L1","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","","","","","","","","","","1"
"NT1, NT2","NetTie:NetTie-2_SMD_Pad0.5mm","","","","","","","","","","2"
"R1, R5, R6, R10, R11, R15, R16, R20, R21, R42-R49, R70-R77","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","-- mixed values --","-- mixed values --","","","","25"
"R2, R8, R13, R18, R34-R37, R62-R65","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","1206","0.1%","","","","12"
"R3, R4, R7, R9, R12, R14, R17, R19, R30-R33, R38-R41, R58-R61, R66-R69","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","1206","1%","","","","24"
"R22-R26, R50, R51, R78, R79, R92-R100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","1206","5%","","","","18"
"R86-R88","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","","","","1206","5%","","","","3"
"U1","footprints:SOT-223_3MC_MCH-M","","","","","","","","","","1"
"U2","footprints:SOT-223_3MC_MCH-M","","","","","","","","","","1"
"U3, U6-U12, U14-U17","footprints:MSOP8_MS_MCH-M","","","","","","","","","","12"
"U4","footprints:SOT-223_S_MCL-M","","","","","","","","","","1"
"U5, U13, U18","footprints_1:TSSOP20_ST_MCH-M","","","","","","","","","","3"
