Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,DNP
"C2, C3",2,10µF,TAJB106K010RNJ,footprints:TAJB_AVX-M,,,
C4,1,10 µF,C1206C106K8RACTU_5,footprints:CAPC340180_180N_KEM-M,,,
C5,1,0.1 µF,C1206C106K8RACTU,footprints:CAPC340180_180N_KEM-M,,,
C6,1,1 µF,C1206C106K8RACTU_4,footprints:CAPC340180_180N_KEM-M,,,
"C7, C8, C9",3,100µF,C1206C106K8RACTU_3,footprints:CAPC340180_180N_KEM-M,,,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48",39,0.1µF,C1206C106K8RACTU_4,footprints:CAPC340180_180N_KEM-M,,,
D1,1,NRVA4005T3G,NRVA4005T3G,Diode_SMD:D_SMA,"600V, 1A, General Purpose Rectifier Diode, SMA(DO-214AC)",,
D2,1,LED,LED,LED_SMD:LED_1206_3216Metric,Light emitting diode,,
J1,1,PJ-002A,PJ-002A,footprints_0:CUI_PJ-002A,,,
"J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13",12,Conn_01x04,Conn_01x04,Connector:FanPinHeader_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,
J15,1,Conn_01x14,Conn_01x14,Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical,"Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)",,
L1,1,4.7 µH,L,Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,Inductor,,
"R1, R5, R6, R10, R11, R15, R16, R20, R21, R42, R43, R44, R45, R46, R47, R48, R49, R70, R71, R72, R73, R74, R75, R76, R77",25,1kΩ,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,
"R2, R8, R13, R18, R34, R35, R36, R37, R62, R63, R64, R65",12,2kΩ,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,
"R3, R4, R7, R9, R12, R14, R17, R19, R30, R31, R32, R33, R38, R39, R40, R41, R58, R59, R60, R61, R66, R67, R68, R69",24,100kΩ,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,
"R22, R23, R24, R25, R26, R50, R51, R78, R79, R92, R93, R94, R95, R96, R97, R98, R99, R100",18,10R,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,
"R86, R87, R88",3,10KΩ,R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor,,
U1,1,MCP1754ST-5002E/DB,MCP1754ST-5002E_DB,footprints:SOT-223_3MC_MCH-M,,,
U2,1,MCP1825S-3002E/DB,MCP1825S-3002E_DB,footprints:SOT-223_3MC_MCH-M,,,
"U3, U6, U7, U8, U9, U10, U11, U12, U14, U15, U16, U17",12,MCP6V97-E/MS,MCP6V97-E_MS,footprints:MSOP8_MS_MCH-M,,,
U4,1,MIC39100-5.0WS,MIC39100-5.0WS,footprints:SOT-223_S_MCL-M,,,
"U5, U13, U18",3,MCP3564-E/ST,MCP3564-E_ST,footprints_1:TSSOP20_ST_MCH-M,,,
