"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J15";"PinSocket_1x14_P2.54mm_Vertical";1;"Conn_01x14";;;
2;"C24,C43,C44,C36,C11,C34,C18,C48,C13,C16,C23,C30,C37,C31,C15,C27,C25,C33,C14,C47,C22,C12,C35,C40,C32,C42,C20,C28,C29,C19,C26,C38,C10,C45,C39,C41,C21,C17,C46";"CAPC340180_180N_KEM-M";39;"0.1µF";;;
3;"J10,J7,J4,J12,J11,J5,J3,J2,J6,J9,J13,J8";"FanPinHeader_1x04_P2.54mm_Vertical";12;"Conn_01x04";;;
4;"R6,R11,R45,R20,R72,R1,R46,R16,R5,R44,R21,R70,R71,R73,R10,R75,R47,R74,R76,R42,R48,R77,R49,R43,R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";25;"1kΩ";;;
5;"C3,C2";"TAJB_AVX-M";2;"10µF";;;
6;"U1";"SOT-223_3MC_MCH-M";1;"MCP1754ST-5002E/DB";;;
7;"J1";"CUI_PJ-002A";1;"PJ-002A";;;
8;"R58,R9,R14,R69,R3,R19,R38,R40,R39,R67,R30,R7,R68,R17,R59,R31,R60,R4,R32,R33,R41,R12,R61,R66";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";24;"100kΩ";;;
9;"R13,R35,R63,R34,R2,R65,R8,R64,R36,R18,R62,R37";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";12;"2kΩ";;;
10;"R87,R86,R88";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"10KΩ";;;
11;"R93,R98,R51,R100,R97,R23,R79,R78,R22,R24,R96,R94,R95,R99,R50,R26,R92,R25";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";18;"10R";;;
12;"C4";"CAPC340180_180N_KEM-M";1;"10 µF";;;
13;"U8,U17,U7,U14,U11,U9,U12,U3,U6,U16,U10,U15";"MSOP8_MS_MCH-M";12;"MCP6V97-E/MS";;;
14;"D1";"D_SMA";1;"NRVA4005T3G";;;
15;"U13,U18,U5";"TSSOP20_ST_MCH-M";3;"MCP3564-E/ST";;;
16;"C5";"CAPC340180_180N_KEM-M";1;"0.1 µF";;;
17;"U2";"SOT-223_3MC_MCH-M";1;"MCP1825S-3002E/DB";;;
18;"C9,C8,C7";"CAPC340180_180N_KEM-M";3;"100µF";;;
19;"L1";"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder";1;"4.7 µH";;;
20;"C6";"CAPC340180_180N_KEM-M";1;"1 µF";;;
21;"D2";"LED_1206_3216Metric";1;"LED";;;
22;"U4";"SOT-223_S_MCL-M";1;"MIC39100-5.0WS";;;
